name,population
종로구,0
중구,0
용산구,0
성동구,0
광진구,0
동대문구,0
중랑구,0
성북구,0
강북구,0
도봉구,0
노원구,0
은평구,0
서대문구,0
마포구,0
양천구,0
강서구,0
구로구,0
금천구,0
영등포구,0
동작구,0
관악구,0
서초구,0
강남구,0
송파구,0
강동구,0
중구,0
서구,0
동구,0
영도구,0
부산진구,0
동래구,0
남구,0
북구,0
해운대구,0
사하구,0
금정구,0
강서구,0
연제구,0
수영구,0
사상구,0
기장군,0
중구,0
동구,0
서구,0
남구,0
북구,0
수성구,0
달서구,0
달성군,0
중구,0
동구,0
연수구,0
남동구,0
부평구,0
계양구,0
서구,0
미추홀구,0
강화군,0
옹진군,0
동구,0
서구,0
남구,0
북구,0
광산구,0
동구,0
중구,0
서구,0
유성구,0
대덕구,0
중구,0
남구,0
동구,0
북구,0
울주군,0
세종시,0
수원시,0
장안구,0
권선구,0
팔달구,0
영통구,0
성남시,0
수정구,0
중원구,0
분당구,0
의정부시,0
안양시,0
만안구,0
동안구,0
부천시,0
광명시,0
평택시,0
동두천시,0
안산시,0
상록구,0
단원구,0
고양시,0
덕양구,0
일산동구,0
일산서구,0
과천시,0
구리시,0
남양주시,0
오산시,0
시흥시,0
군포시,0
의왕시,0
하남시,0
용인시,0
처인구,0
기흥구,0
수지구,0
파주시,0
이천시,0
안성시,0
김포시,0
화성시,0
광주시,0
양주시,0
포천시,0
여주시,0
연천군,0
가평군,0
양평군,0
춘천시,0
원주시,0
강릉시,0
동해시,0
태백시,0
속초시,0
삼척시,0
홍천군,0
횡성군,0
영월군,0
평창군,0
정선군,0
철원군,0
화천군,0
양구군,0
인제군,0
고성군,0
양양군,0
충주시,0
제천시,0
청주시,0
상당구,0
서원구,0
흥덕구,0
청원구,0
보은군,0
옥천군,0
영동군,0
진천군,0
괴산군,0
음성군,0
단양군,0
증평군,0
천안시,0
동남구,0
서북구,0
공주시,0
보령시,0
아산시,0
서산시,0
논산시,0
계룡시,0
당진시,0
금산군,0
부여군,0
서천군,0
청양군,0
홍성군,0
예산군,0
태안군,0
전주시,658912
완산구,348108
덕진구,310804
군산시,272204
익산시,294787
정읍시,108271
남원시,78487
김제시,81410
완주군,98002
진안군,23306
무주군,23058
장수군,21281
임실군,26377
순창군,27136
고창군,54425
부안군,50501
목포시,0
여수시,0
순천시,0
나주시,0
광양시,0
담양군,0
곡성군,0
구례군,0
고흥군,0
보성군,0
화순군,0
장흥군,0
강진군,0
해남군,0
영암군,0
무안군,0
함평군,0
영광군,0
장성군,0
완도군,0
진도군,0
신안군,0
포항시,0
남구,0
북구,0
경주시,0
김천시,0
안동시,0
구미시,0
영주시,0
영천시,0
상주시,0
문경시,0
경산시,0
군위군,0
의성군,0
청송군,0
영양군,0
영덕군,0
청도군,0
고령군,0
성주군,0
칠곡군,0
예천군,0
봉화군,0
울진군,0
울릉군,0
진주시,0
통영시,0
사천시,0
김해시,0
밀양시,0
거제시,0
양산시,0
창원시,0
의창구,0
성산구,0
마산합포구,0
마산회원구,0
진해구,0
의령군,0
함안군,0
창녕군,0
고성군,0
남해군,0
하동군,0
산청군,0
함양군,0
거창군,0
합천군,0
제주시,0
서귀포시,0
