,주차장명,주차면수,운영시간,당일최고요금,주차요금,주 소,전화번호,비고,위도,경도
0,오거리 주차장,198면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 팔달로 217-21,239-2768,유료주차장,35.821289518424,127.145191195356
1,건산천1 주차장,78면,24시간(연중무휴),"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 숲정이 5길 7,239-2768,유료주차장,35.8318864642009,127.134794332028
2,건산천2 주차장,68면,24시간(연중무휴),"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 태진로 125-22,239-2768,유료주차장,35.8329420114265,127.134719639921
3,덕진광장 주차장,33면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 덕진구 덕진광장로 3,239-2768,유료주차장,35.8441953446342,127.124037520253
4,삼천2동 주차장,194면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 상거마 4길 24,239-2768,유료주차장,35.796683825854,127.121714493546
5,중화산2동 주차장,89면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 신촌3길 28-4,239-2768,유료주차장,35.8175782327991,127.115225697287
6,서신동 주차장,131면,24시간(연중무휴),"4,000원","최초1시간 무료주차/ 이후 기본(30):500, 추가(15):250",전주시 완산구 당산로 56,239-2768,유료주차장,35.8315915774083,127.114450424825
7,종합경기장 주차장,638면,07:00~23:00,"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 기린대로 451,239-2768,유료주차장,35.8407545424717,127.127126977706
8,실내체육관 주차장,150면,07:00~23:00,"4,000원","기본(30):500, 추가(15):250",전주시 덕진구 권삼득로 308,239-2768,유료주차장,35.8442080450985,127.129260874307
9,한옥마을 제1 주차장,301면,24시간(연중무휴),"12,000원","기본(30):1,000, 추가(15):500",전주시 완산구 기린대로 99,239-2768,유료주차장,35.8182133310186,127.153608497904
10,한옥마을 제2 주차장,175면,24시간(연중무휴),"12,000원","기본(30):1,000, 추가(15):500",전주시 완산구 어진길 30-10,239-2768,유료주차장,35.818257923972,127.153341349736
11,한옥마을 노상주차장,245면,"하절기 10:00~19:00,동절기 09:00~18:00","12,000원","기본(30):1,000, 추가(15):500","전주시 기린대로, 전주천서로",239-2768,유료주차장,0,0
12,동물원 주차장,840면,09:00~18:00(연중무휴),"1,000원","▶선불 1,000원(시간제한없음)▶25인승 이상 - 선불 2,000원(시간제한없음)",전주시 덕진구 소리로 68,239-2768,유료주차장,35.8573063528344,127.144076890995
13,서부신시가지(도청),46면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산북로 75,239-2768,유료주차장,35.817617572492,127.110179328339
14,서부신시가지(농협),51면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산북로 53,239-2768,유료주차장,35.8176251175557,127.107822052871
15,서부신시가지(다은),50면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산2길 5-12,239-2768,유료주차장,35.8151620919826,127.110174165421
16,서부신시가지(국민),67면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산1길 4-13,239-2768,유료주차장,35.8151609934591,127.107807213499
17,서부신시가지(홍산),122면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산남로 45-20,239-2768,유료주차장,35.8164479621604,127.107641755885
18,서부신시가지(비보이),124면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 완산구 홍산남로 83-17,239-2768,유료주차장,35.8164377936067,127.110308712008
19,노송천 주차장,68면,24시간(연중무휴),"6,000원","기본(30):600, 추가(15):300",전주시 노송여울2길 108,239-2768,유료주차장,35.8269016780165,127.142312761834
20,모악산,180면,24시간,무료,무료,전주시 완산구 중인1길 254,,무료주차장,35.7580840794178,127.086685872146
21,가련산,40면,24시간,무료,무료,전주시 덕진구 기린대로 535,,무료주차장,35.845498654729,127.120311271581
22,근영여고 앞,46면,24시간,무료,무료,전주시 완산구 백제대로 270,,무료주차장,35.8171737192475,127.123425051994
23,이중본뒤,33면,24시간,무료,무료,전주시 완산구 산월1길 10,,무료주차장,35.8128895507133,127.122036753665
24,신일강변 APT 옆,48면,24시간,무료,무료,전주시 완산구 강변로 98,,무료주차장,35.7998651021439,127.111690029941
25,아중지구 롯데APT 옆,70면,24시간,무료,무료,전주시 덕진구 정언신로 151,,무료주차장,35.831586097692,127.17060021231
26,아중지구 부영APT 옆,88면,24시간,무료,무료,전주시 덕진구 인교6길 13,,무료주차장,35.8254713803879,127.171641329282
27,아중지구 밀레니엄 옆,73면,24시간,무료,무료,전주시 덕진구 정언신로 178,,무료주차장,35.8315282765632,127.172968629646
28,아중지구 산림청옆,62면,24시간,무료,무료,전주시 덕진구 무삼지2길 7,,무료주차장,35.8263299525078,127.162607761696
29,색장동 만남의 광장,68면,24시간,무료,무료,전주시 완산구 부남길24,,무료주차장,35.7884397465703,127.193411690413
30,호성동 만남의 광장,30면,24시간,무료,무료,전주시 덕진구 완주로6,,무료주차장,35.8674575685824,127.147537349693
31,우아1동 공영주차장,28면,24시간,무료,무료,전주시 덕진구 우아4길6,,무료주차장,35.8493379916023,127.157305187324
32,무진장방면 만남의 광장,75면,24시간,무료,무료,전주시 덕진구 금상길27,,무료주차장,35.8421352759294,127.175876543608
33,군산?익산 만남의 광장,52면,24시간,무료,무료,전주시 덕진구 번영로 453,,무료주차장,35.8750205035426,127.056687868141
34,인후3동 진버들 ,106면,24시간,무료,무료,전주시 덕진구 진버들5길 15,,무료주차장,35.8363209039147,127.164750565036
35,태평동,24면,24시간,무료,무료,전주시 완산구 태진로 17,,무료주차장,35.8248228,127.1370216
36,인후1동 안골,32면,24시간,무료,무료,전주시 덕진구 팽나무4길 11,,무료주차장,35.8355264893635,127.154610533777
37,인후2동 금평,26면,24시간,무료,무료,전주시 덕진구 명주1길 9,,무료주차장,35.8430401605441,127.145307754191
38,인후2동 건지,26면,24시간,무료,무료,전주시 덕진구 백동로 14-7,,무료주차장,35.8466309863113,127.148226034396
39,남노송동,24면,24시간,무료,무료,전주시 완산구 관산3길 17-6,,무료주차장,0,0
40,서부신시가지 봉곡,30면,24시간,무료,무료,전주시 완산구 봉곡1길 42,,무료주차장,35.8127311,127.1013909
41,서부신시가지 마전,44면,24시간,무료,무료,전주시 완산구 문학대5길 31-3,,무료주차장,35.8277468288193,127.105153121514
42,서부신시가지 산마을오리정,34면,24시간,무료,무료,전주시 완산구 마전1길 12-3,,무료주차장,35.8217584134655,127.102961663083
43,서부신시가지 보훈청,43면,24시간,무료,무료,전주시 완산구 바우배기1길 13-16,,무료주차장,35.8152264132104,127.104036067658
44,서부신시가지 신한은행,32면,24시간,무료,무료,전주시 완산구 바우배기2길 27,,무료주차장,35.8169880492342,127.104933226664
45,서부신시가지 롯데마트뒤,42면,24시간,무료,무료,전주시 완산구 홍산북로 13,,무료주차장,35.817598278054,127.103285379584
46,서부신시가지 도청사거리,20면,24시간,무료,무료,전주시 완산구 석산2길 7,,무료주차장,35.8196812443345,127.104981365944
47,서부신시가지 엘드@,24면,24시간,무료,무료,전주시 완산구 범안1길 7-27,,무료주차장,35.8131664836164,127.109621815418
48,서부신시가지 전주대원룸옆,17면,24시간,무료,무료,전주시 완산구 봉곡2길 17-4,,무료주차장,35.8129810166602,127.094992588165
49,서부신시가지 서곡방면,28면,24시간,무료,무료,전주시 완산구 황강서원1길 7,,무료주차장,35.8284972830596,127.097816787022
50,서부신시가지 예다움원룸,32면,24시간,무료,무료,전주시 완산구 배학5길 7,,무료주차장,35.8206318828391,127.0961614118
