시군구코드,읍면동코드,읍면동명
45720,45720350,백운면                   
45720,45720360,성수면                   
45720,45720370,마령면                   
45720,45720250,진안읍                   
45720,45720340,상전면                   
45720,45720330,동향면                   
45720,45720320,안천면                   
45720,45720380,부귀면                   
45720,45720390,정천면                   
45720,45720310,용담면                   
45720,45720400,주천면                   
45180,45180125,공평동                   
45180,45180107,하모동                   
45180,45180104,시기동                   
45180,45180101,수성동                   
45180,45180127,신정동                   
45180,45180119,내장동                   
45180,45180115,용산동                   
45180,45180118,쌍암동                   
45180,45180320,입암면                   
45180,45180111,진산동                   
45180,45180117,부전동                   
45180,45180114,신월동                   
45180,45180116,교암동                   
45180,45180109,과교동                   
45180,45180113,송산동                   
45180,45180110,삼산동                   
45180,45180112,금붕동                   
45180,45180103,상동                     
45180,45180108,상평동                   
45180,45180102,장명동                   
45180,45180105,연지동                   
45180,45180122,구룡동                   
45180,45180330,소성면                   
45180,45180430,산내면                   
45180,45180106,농소동                   
45180,45180124,용계동                   
45180,45180121,하북동                   
45180,45180123,흑암동                   
45180,45180120,영파동                   
45180,45180126,망제동                   
45180,45180420,칠보면                   
45180,45180310,북면                     
45180,45180340,고부면                   
45180,45180360,덕천면                   
45180,45180440,산외면                   
45180,45180380,정우면                   
45180,45180350,영원면                   
45180,45180410,옹동면                   
45180,45180390,태인면                   
45180,45180370,이평면                   
45180,45180250,신태인읍                 
45180,45180400,감곡면                   
45113,45113133,팔복동4가                
45113,45113104,인후동2가                
45113,45113118,호성동3가                
45113,45113119,전미동1가                
45113,45113113,우아동1가                
45113,45113102,진북동                   
45113,45113114,우아동2가                
45113,45113103,인후동1가                
45113,45113107,금암동                   
45113,45113131,만성동                   
45113,45113106,덕진동2가                
45113,45113111,산정동                   
45113,45113110,팔복동3가                
45113,45113115,우아동3가                
45113,45113112,금상동                   
45113,45113105,덕진동1가                
45113,45113108,팔복동1가                
45113,45113109,팔복동2가                
45113,45113121,송천동1가                
45113,45113132,장동                     
45113,45113130,여의동                   
45113,45113116,호성동1가                
45113,45113127,원동                     
45113,45113128,동산동                   
45113,45113137,남정동                   
45113,45113122,송천동2가                
45113,45113126,성덕동                   
45113,45113125,용정동                   
45113,45113134,도도동                   
45113,45113117,호성동2가                
45113,45113123,반월동                   
45113,45113135,강흥동                   
45113,45113129,고랑동                   
45113,45113120,전미동2가                
45113,45113136,도덕동                   
45113,45113124,화전동                   
45111,45111130,석구동                   
45111,45111131,원당동                   
45111,45111135,중인동                   
45111,45111134,평화동3가                
45111,45111133,평화동2가                
45111,45111136,용복동                   
45111,45111138,삼천동2가                
45111,45111132,평화동1가                
45111,45111137,삼천동1가                
45111,45111139,삼천동3가                
45111,45111144,색장동                   
45111,45111126,서서학동                 
45111,45111125,동서학동                 
45111,45111143,대성동                   
45111,45111124,서완산동2가              
45111,45111122,동완산동                 
45111,45111123,서완산동1가              
45111,45111140,효자동1가                
45111,45111112,전동3가                  
45111,45111113,다가동1가                
45111,45111114,다가동2가                
45111,45111104,중앙동4가                
45111,45111111,전동                     
45111,45111118,교동                     
45111,45111101,중앙동1가                
45111,45111110,풍남동3가                
45111,45111102,중앙동2가                
45111,45111115,다가동3가                
45111,45111103,중앙동3가                
45111,45111141,효자동2가                
45111,45111106,경원동2가                
45111,45111105,경원동1가                
45111,45111108,풍남동1가                
45111,45111109,풍남동2가                
45111,45111127,중화산동1가              
45111,45111116,다가동4가                
45111,45111107,경원동3가                
45111,45111117,고사동                   
45111,45111121,남노송동                 
45111,45111128,중화산동2가              
45111,45111119,태평동                   
45111,45111120,중노송동                 
45111,45111147,서노송동                 
45111,45111145,상림동                   
45111,45111142,효자동3가                
45111,45111129,서신동                   
45111,45111146,중동                     
45740,45740320,번암면                   
45740,45740310,산서면                   
45740,45740250,장수읍                   
45740,45740350,계남면                   
45740,45740340,천천면                   
45740,45740335,장계면                   
45740,45740360,계북면                   
45750,45750400,덕치면                   
45750,45750355,오수면                   
45750,45750370,삼계면                   
45750,45750390,강진면                   
45750,45750410,지사면                   
45750,45750250,임실읍                   
45750,45750310,청웅면                   
45750,45750340,성수면                   
45750,45750330,신평면                   
45750,45750320,운암면                   
45750,45750360,신덕면                   
45750,45750380,관촌면                   
45140,45140370,낭산면                   
45140,45140430,삼기면                   
45140,45140420,춘포면                   
45140,45140310,오산면                   
45140,45140126,석탄동                   
45140,45140109,인화동1가                
45140,45140117,목천동                   
45140,45140106,평화동                   
45140,45140104,중앙동2가                
45140,45140108,주현동                   
45140,45140107,갈산동                   
45140,45140105,중앙동3가                
45140,45140125,금강동                   
45140,45140103,중앙동1가                
45140,45140101,창인동1가                
45140,45140102,창인동2가                
45140,45140116,송학동                   
45140,45140112,마동                     
45140,45140124,신흥동                   
45140,45140136,석암동                   
45140,45140114,모현동1가                
45140,45140113,남중동                   
45140,45140135,용제동                   
45140,45140115,모현동2가                
45140,45140123,어양동                   
45140,45140127,팔봉동                   
45140,45140122,영등동                   
45140,45140121,신동                     
45140,45140134,부송동                   
45140,45140119,현영동                   
45140,45140118,만석동                   
45140,45140128,덕기동                   
45140,45140129,석왕동                   
45140,45140120,신용동                   
45140,45140132,임상동                   
45140,45140131,정족동                   
45140,45140130,은기동                   
45140,45140133,월성동                   
45140,45140320,황등면                   
45140,45140400,금마면                   
45140,45140410,왕궁면                   
45140,45140110,인화동2가                
45140,45140390,여산면                   
45140,45140330,함라면                   
45140,45140111,동산동                   
45140,45140250,함열읍                   
45140,45140440,용동면                   
45140,45140360,용안면                   
45140,45140350,성당면                   
45140,45140340,웅포면                   
45140,45140380,망성면                   
45710,45710360,고산면                   
45710,45710330,이서면                   
45710,45710320,상관면                   
45710,45710253,봉동읍                   
45710,45710350,구이면                   
45710,45710340,소양면                   
45710,45710310,용진면                   
45710,45710250,삼례읍                   
45710,45710400,동상면                   
45710,45710370,비봉면                   
45710,45710410,경천면                   
45710,45710390,화산면                   
