,어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자,위도,경도
0,서신어린이집,전라북도,전주시 완산구,국공립,85,18,전라북도 전주시 완산구 감나무로 15,063-251-5373,063-251-5374,5,Y,12,1,,2019-04-01,35.82915547,127.120266
1,휴먼시아맑은샘어린이집,전라북도,전주시 완산구,국공립,34,12,전라북도 전주시 완산구 용호로 20,063-223-3883,063-223-3887,4,N,7,0,,2019-04-01,35.80768237,127.1016488
2,휴먼시아숲속어린이집,전라북도,전주시 완산구,국공립,37,13,전라북도 전주시 완산구 호암로 2,063-223-6543,063-223-6542,3,N,8,0,,2019-04-01,35.80748439,127.0961354
3,휴먼시아해오름어린이집,전라북도,전주시 완산구,국공립,47,15,전라북도 전주시 완산구 호암로 87,063-236-0131,063-236-0132,5,N,8,0,,2019-04-01,37.70845095,127.0475462
4,휴먼시아밝은빛어린이집,전라북도,전주시 완산구,국공립,47,12,전라북도 전주시 완산구 호암로 88,063-223-0103,063-223-0132,4,N,6,0,,2019-04-01,35.807829,127.1027133
5,아기천사어린이집,전라북도,전주시 완산구,사회복지법인,59,14,전라북도 전주시 완산구 외칠봉1길 17,063-282-5629,063-282-5627,6,Y,14,2,,2019-04-01,35.80293475,127.13717
6,바울어린이집,전라북도,전주시 완산구,사회복지법인,141,21,전라북도 전주시 완산구 용머리로 228,063-287-1005,063-287-1096,8,Y,16,3,,2019-04-01,35.80840155,127.1353327
7,상원어린이집,전라북도,전주시 완산구,사회복지법인,73,16,전라북도 전주시 완산구 천잠로 545-7,063-253-3138,063-253-3139,7,Y,16,6,,2019-04-01,35.8331357,127.0953507
8,중산어린이집,전라북도,전주시 완산구,사회복지법인,157,16,전라북도 전주시 완산구 서원로 334,063-283-6667,063-285-1763,8,Y,3,2,,2019-04-01,35.81183501,127.1302554
9,명재어린이집,전라북도,전주시 완산구,사회복지법인,120,18,전라북도 전주시 완산구 삼천천변2길 36-3,063-221-2228,063-224-9496,7,Y,4,2,,2019-04-01,35.79615507,127.1141678
10,올리브어린이집,전라북도,전주시 완산구,사회복지법인,77,10,전라북도 전주시 완산구 구이로 2041-1,063-222-1144,063-222-1145,4,Y,8,2,,2019-04-01,35.78038033,127.1289512
11,전주삼성어린이집,전라북도,전주시 완산구,사회복지법인,123,22,전라북도 전주시 완산구 권삼득로 20,063-287-2035,063-287-2034,5,Y,22,0,,2019-04-01,35.8247749,127.149868
12,남복원광어린이집,전라북도,전주시 완산구,사회복지법인,99,12,전라북도 전주시 완산구 평화6길 22,063-227-5413,063-228-5413,6,Y,0,1,,2019-04-01,35.78856964,127.132795
13,롯데어린이집,전라북도,전주시 완산구,사회복지법인,99,16,전라북도 전주시 완산구 계룡산길 64,063-227-2427,063-227-2445,7,Y,2,2,,2019-04-01,35.78864283,127.1050927
14,예촌어린이집,전라북도,전주시 완산구,사회복지법인,48,12,전라북도 전주시 완산구 메너머3길 25-15,063-224-4566,063-224-2003,7,Y,18,2,,2019-04-01,35.82317749,127.1200191
15,상록어린이집,전라북도,전주시 완산구,사회복지법인,159,17,전라북도 전주시 완산구 우전로 251,063-222-5002,063-222-5114,10,Y,6,2,,2019-04-01,35.81699345,127.1015843
16,에덴어린이집,전라북도,전주시 완산구,사회복지법인,79,10,전라북도 전주시 완산구 장승배기로 302-3,063-288-1395,063-288-1395,6,Y,0,1,,2019-04-01,35.7995669,127.1450915
17,현대어린이집,전라북도,전주시 완산구,사회복지법인,97,15,전라북도 전주시 완산구 인정2길 12,063-227-2530,063-227-2531,6,Y,4,2,,2019-04-01,38.32360681,128.5111372
18,학산어린이집,전라북도,전주시 완산구,사회복지법인,45,9,전라북도 전주시 완산구 평화동2가 모악로 4726-1,063-227-3177,050-4242-1561,5,N,6,1,,2019-04-01,35.79110725,127.1321311
19,작은새두리어린이집,전라북도,전주시 완산구,사회복지법인,72,15,전라북도 전주시 완산구 평화14길 15-10,063-224-0030,063-223-4480,6,Y,8,1,,2019-04-01,35.79219592,127.1340619
20,한마음어린이집,전라북도,전주시 완산구,사회복지법인,41,18,전라북도 전주시 완산구 계룡산길 44-6,063-224-0979,063-224-7054,7,Y,0,2,,2019-04-01,35.79070168,127.1048901
21,신생어린이집,전라북도,전주시 완산구,사회복지법인,74,8,전라북도 전주시 완산구 난전들로 22-7,063-226-9952,063-229-4733,6,Y,5,2,,2019-04-01,35.77876997,127.1267258
22,은성어린이집,전라북도,전주시 완산구,사회복지법인,99,14,전라북도 전주시 완산구 강당1길 18-21,063-284-1825,063-284-1827,7,Y,0,3,,2019-04-01,35.81033192,127.133921
23,큐피트어린이집,전라북도,전주시 완산구,사회복지법인,48,8,전라북도 전주시 완산구 화산천변3길 12-3,063-237-1279,063-237-5585,3,Y,6,1,,2019-04-01,35.82078269,127.1148262
24,꺼야마을어린이집,전라북도,전주시 완산구,사회복지법인,99,16,전라북도 전주시 완산구 중인1길 134-17,063-222-7051,063-222-2132,6,Y,0,3,,2019-04-01,35.76823649,127.0943866
25,전주효자어린이집,전라북도,전주시 완산구,사회복지법인,120,10,전라북도 전주시 완산구 밤나무1길 15-7,063-221-5560,063-236-3445,7,Y,3,2,,2019-04-01,35.80863629,127.1168022
26,큰별어린이집,전라북도,전주시 완산구,사회복지법인,84,15,전라북도 전주시 완산구 내원당길 70-15,063-287-4123,063-287-4120,7,Y,0,2,,2019-04-01,35.79374231,127.1699859
27,효자제일어린이집,전라북도,전주시 완산구,법인·단체등,48,6,전라북도 전주시 완산구 신촌1길 44-3,063-226-1398,070-7521-4689,5,N,2,2,,2019-04-01,35.81404324,127.1134943
28,완산어린이집,전라북도,전주시 완산구,법인·단체등,77,7,전라북도 전주시 완산구 전주천서로 181,063-282-8495,063-286-2737,5,Y,9,1,,2019-04-01,35.81186057,127.1413805
29,우리어린이집,전라북도,전주시 완산구,법인·단체등,42,7,전라북도 전주시 완산구 덕적골2길 25,063-282-4408,063-287-8032,3,Y,3,0,,2019-04-01,35.79561646,127.1418577
30,평화원광어린이집,전라북도,전주시 완산구,법인·단체등,85,14,전라북도 전주시 완산구 백제대로 20-15,063-228-0098,063-224-1058,5,Y,6,3,,2019-04-01,35.79789963,127.1322093
31,새빛어린이집,전라북도,전주시 완산구,법인·단체등,43,7,전라북도 전주시 완산구 신봉로 4,063-227-8911,063-227-8711,3,Y,0,1,,2019-04-01,35.81005578,127.1155906
32,광민어린이집,전라북도,전주시 완산구,법인·단체등,46,8,전라북도 전주시 완산구 중산1길 12-4,063-224-8578,063-224-8577,5,Y,7,1,,2019-04-01,35.81473893,127.119266
33,교동원광어린이집,전라북도,전주시 완산구,법인·단체등,78,14,전라북도 전주시 완산구 오목대길 76,063-285-3158,063-287-6688,6,Y,13,2,,2019-04-01,35.81319855,127.1519712
34,복지어린이집,전라북도,전주시 완산구,법인·단체등,78,9,전라북도 전주시 완산구 평화동1가 덕적골2길 22,063-283-2733,063-283-4423,5,Y,10,1,,2019-04-01,35.79661683,127.1401966
35,전주YWCA어린이집,전라북도,전주시 완산구,법인·단체등,99,16,전라북도 전주시 완산구 용머리로 98,063-224-5503,063-237-5503,5,Y,0,1,,2019-04-01,35.80590869,127.1209223
36,토마토어린이집,전라북도,전주시 완산구,민간,69,8,전라북도 전주시 완산구 중산1길 4-4,063-225-6213,063-226-9119,7,Y,12,1,,2019-04-01,35.814828,127.1202352
