고유번호,구명,정원수,위도,경도
0,전주시 완산구,85,35.82915547,127.120266
1,전주시 완산구,34,35.80768237,127.1016488
2,전주시 완산구,37,35.80748439,127.0961354
3,전주시 완산구,47,37.70845095,127.0475462
4,전주시 완산구,47,35.807829,127.1027133
5,전주시 완산구,59,35.80293475,127.13717
6,전주시 완산구,141,35.80840155,127.1353327
7,전주시 완산구,73,35.8331357,127.0953507
8,전주시 완산구,157,35.81183501,127.1302554
9,전주시 완산구,120,35.79615507,127.1141678
10,전주시 완산구,77,35.78038033,127.1289512
11,전주시 완산구,123,35.8247749,127.149868
12,전주시 완산구,99,35.78856964,127.132795
13,전주시 완산구,99,35.78864283,127.1050927
14,전주시 완산구,48,35.82317749,127.1200191
15,전주시 완산구,159,35.81699345,127.1015843
16,전주시 완산구,79,35.7995669,127.1450915
17,전주시 완산구,97,38.32360681,128.5111372
18,전주시 완산구,45,35.79110725,127.1321311
19,전주시 완산구,72,35.79219592,127.1340619
20,전주시 완산구,41,35.79070168,127.1048901
21,전주시 완산구,74,35.77876997,127.1267258
22,전주시 완산구,99,35.81033192,127.133921
23,전주시 완산구,48,35.82078269,127.1148262
24,전주시 완산구,99,35.76823649,127.0943866
25,전주시 완산구,120,35.80863629,127.1168022
26,전주시 완산구,84,35.79374231,127.1699859
27,전주시 완산구,48,35.81404324,127.1134943
28,전주시 완산구,77,35.81186057,127.1413805
29,전주시 완산구,42,35.79561646,127.1418577
30,전주시 완산구,85,35.79789963,127.1322093
31,전주시 완산구,43,35.81005578,127.1155906
32,전주시 완산구,46,35.81473893,127.119266
33,전주시 완산구,78,35.81319855,127.1519712
34,전주시 완산구,78,35.79661683,127.1401966
35,전주시 완산구,99,35.80590869,127.1209223
36,전주시 완산구,69,35.814828,127.1202352
37,전주시 완산구,73,35.80957357,127.1245593
38,전주시 완산구,34,35.82311411,127.115439
39,전주시 완산구,210,35.828842,127.1274564
40,전주시 완산구,31,35.79394568,127.1133443
41,전주시 완산구,39,35.78244926,127.1033098
42,전주시 완산구,82,35.79433823,127.1293646
43,전주시 완산구,55,35.82677322,127.1135486
44,전주시 완산구,135,35.83568306,127.0972142
45,전주시 완산구,240,35.78426779,127.1363638
46,전주시 완산구,30,35.83142548,127.0974803
47,전주시 완산구,90,35.80649556,127.1513553
48,전주시 완산구,96,35.83375358,127.0941179
49,전주시 완산구,99,35.80022267,127.1323428
50,전주시 완산구,129,35.79713514,127.1202349
51,전주시 완산구,99,35.79962798,127.0804453
52,전주시 완산구,49,35.81969706,127.1164799
53,전주시 완산구,28,35.82070273,127.1628974
54,전주시 완산구,89,35.8253179,127.1194424
55,전주시 완산구,26,35.83521408,127.1142806
56,전주시 완산구,99,35.80117204,127.1286299
57,전주시 완산구,99,35.82009406,127.1147084
58,전주시 완산구,28,35.78782363,127.1341297
59,전주시 완산구,39,35.78883235,127.1200279
60,전주시 완산구,31,37.7660558,126.768558
61,전주시 완산구,99,35.79467495,127.135256
62,전주시 완산구,28,35.82089777,127.1515951
63,전주시 완산구,105,35.62936836,127.3274768
64,전주시 완산구,68,35.7954004,127.1380099
65,전주시 완산구,36,35.78040859,127.1148534
66,전주시 완산구,91,35.79761403,127.1436003
67,전주시 완산구,89,35.80322874,127.0844769
68,전주시 완산구,99,35.8021823,127.1327419
69,전주시 완산구,40,35.79548072,127.1140985
70,전주시 완산구,33,35.8308328,127.1110926
71,전주시 완산구,110,35.80562205,127.1083912
72,전주시 완산구,67,34.7709273,127.7039168
73,전주시 완산구,21,37.49972647,126.9428349
74,전주시 완산구,119,35.83146342,127.1197198
75,전주시 완산구,31,35.80361872,127.1283521
76,전주시 완산구,24,35.78984428,127.1157242
77,전주시 완산구,132,35.8214607,127.1144518
78,전주시 완산구,31,35.79431038,127.1152788
79,전주시 완산구,33,35.82724983,127.1211864
80,전주시 완산구,89,35.78750551,127.1201186
81,전주시 완산구,49,35.80880772,127.1289603
82,전주시 완산구,32,35.83307198,127.1093247
83,전주시 완산구,99,35.79313163,127.1028472
84,전주시 완산구,25,35.79536417,127.1114261
85,전주시 완산구,99,35.78938699,127.1361913
86,전주시 완산구,99,35.78677568,127.1315618
87,전주시 완산구,49,35.81361338,127.1382424
88,전주시 완산구,22,35.79309625,127.1166303
89,전주시 완산구,26,35.83143239,127.0992794
90,전주시 완산구,30,35.82127411,127.1156103
91,전주시 완산구,153,35.79568354,127.0884758
92,전주시 완산구,37,35.79572647,127.1152545
93,전주시 완산구,163,35.78321464,127.1331586
94,전주시 완산구,93,35.79675422,127.1164331
95,전주시 완산구,58,35.83340618,127.1216859
96,전주시 완산구,69,35.80142216,127.1321041
97,전주시 완산구,35,35.72892331,126.7293287
98,전주시 완산구,93,35.7967368,127.112096
99,전주시 완산구,36,37.47594397,126.8567405
100,전주시 완산구,99,35.81973276,127.1173001
101,전주시 완산구,214,35.82807111,127.1174063
102,전주시 완산구,28,35.78322279,127.131981
103,전주시 완산구,42,35.82393417,127.117292
104,전주시 완산구,49,35.82247904,127.1355912
105,전주시 완산구,25,35.83177947,127.0966134
106,전주시 완산구,38,35.8044343,127.1121053
107,전주시 완산구,26,35.81064708,127.1085536
108,전주시 완산구,46,35.8130709,127.1203256
109,전주시 완산구,37,35.82641738,127.1090006
110,전주시 완산구,29,35.78510901,127.1391306
111,전주시 완산구,300,35.78693607,127.1159158
112,전주시 완산구,26,35.84071385,127.1064989
113,전주시 완산구,67,35.81743429,127.1262694
114,전주시 완산구,45,35.80604358,127.0974304
115,전주시 완산구,21,36.60935963,127.4184411
116,전주시 완산구,56,35.81043018,127.0993336
117,전주시 완산구,37,35.79416949,127.118182
118,전주시 완산구,250,35.79165061,127.118027
119,전주시 완산구,45,37.20364032,127.5464217
120,전주시 완산구,69,35.83266095,127.0940491
121,전주시 완산구,80,35.79199103,127.1348915
122,전주시 완산구,33,35.80694099,127.1530423
