학교명,주소,위도,경도
전주온고을중학교,전라북도 전주시 덕진구 무삼지로 26,35.82915114,127.1654968
서전주중학교,전라북도 전주시 완산구 거마평로 205,35.81033988,127.1122327
군산남중학교,전라북도 군산시 대학로 222,35.97350222,126.6982092
지평선중학교,전라북도 김제시 성덕면 성동길 183-4,35.82821233,126.8312524
청하중학교,전라북도 김제시 청하면 청하6길 68,35.88191902,126.8514878
안천중학교,전라북도 진안군 안천면 진무로 3071-9,35.90029728,127.5601694
전주기린중학교,전라북도 전주시 덕진구 동부대로 739,35.8541504,127.1569104
군산산북중학교,전라북도 군산시 동아로 109,35.96505252,126.6830736
군산중학교,전라북도 군산시 군중길 18,35.97720115,126.7014138
군산중앙중학교,전라북도 군산시 성산면 군장대길 13,36.00197655,126.7849803
군산동원중학교,전라북도 군산시 의료원로 146,35.95943937,126.7000885
전주근영중학교,전라북도 전주시 완산구 영경1길 11,35.82030227,127.1246416
전주오송중학교,전라북도 전주시 덕진구 천마산로 69,35.86587029,127.1284673
설천중학교,전라북도 무주군 설천면 하평지길 19,36.01252702,127.7881231
무풍중학교,전라북도 무주군 무풍면 대덕산로 914,35.96676372,127.8464511
삼례중학교,전라북도 완주군 삼례읍 신금로 53-23,35.91106842,127.0787163
전주우림중학교,전라북도 전주시 완산구 우전로 119,35.80570638,127.0990235
안성중학교,전라북도 무주군 안성면 구량천로 149,35.86958714,127.6544784
진성중학교,전라북도 진안군 성수면 관진로 719,35.70461484,127.3218798
성수중학교,전라북도 임실군 성수면 월삼로 354,35.6297434,127.3358183
위도중학교,전라북도 부안군 위도면 위도로 245,35.60490699,126.2961849
용담중학교,전라북도 진안군 용담면 안용로 1005,35.9652011,127.5185427
고창남중학교,전라북도 고창군 성송면 대성로 877,35.37394733,126.6483359
이리영등중학교,전라북도 익산시 하나로 490,35.96463999,126.9814661
소성중학교,전라북도 정읍시 소성면 소성상평로 34,35.55620959,126.78551
전주신일중학교,전라북도 전주시 완산구 견훤왕궁2길 8,35.82896302,127.1532516
전주용흥중학교,전라북도 전주시 완산구 장승배기로 12,35.79141082,127.1137801
자유중학교,전라북도 고창군 고창읍 보릿골로 176,35.4413272,126.6964428
진안중학교,전라북도 진안군 진안읍 상역로 86,35.80074338,127.4183991
나포중학교,전라북도 군산시 나포면 등동1길 6-5,36.02778284,126.832334
마령중학교,전라북도 진안군 마령면 임진로 2086,35.73289992,127.3716574
운봉중학교,전라북도 남원시 운봉읍 바래봉길 73,35.43740094,127.5356833
전주솔빛중학교,전라북도 전주시 덕진구 솔내6길 33,35.85903251,127.124056
군산진포중학교,전라북도 군산시 진포3길 66,35.97243982,126.7220784
고창중학교,전라북도 고창군 고창읍 보릿골로 35,35.42860953,126.6937513
전주호성중학교,전라북도 전주시 덕진구 배미실마을길 23,35.86432944,127.1571788
전주화정중학교,전라북도 전주시 덕진구 세병로 66,35.87164049,127.1304615
왕신여자중학교,전라북도 정읍시 신태인읍 정신로 1094,35.68287964,126.8894006
용북중학교,전라북도 남원시 사매면 용북길 89,35.49121972,127.3656473
성당중학교,전라북도 익산시 성당면 함안로 671-333,36.08732668,126.9295696
삼기중학교,전라북도 익산시 삼기면 황금로 499,36.02164678,126.9839093
익산어양중학교,전라북도 익산시 하나로12길 39,35.96523132,126.9849326
전주성심여자중학교,전라북도 전주시 완산구 경기전길 130,35.81195132,127.150661
전주덕일중학교,전라북도 전주시 덕진구 하가로 67,35.84798826,127.1111668
섬진중학교,전라북도 임실군 강진면 강운로 87,35.52698,127.1517752
남원한빛중학교,전라북도 남원시 용성로 299,35.42390146,127.402738
전북동화중학교,전라북도 정읍시 태인면 정읍북로 1238,35.65059282,126.9374917
보절중학교,전라북도 남원시 보절면 보산로 909-14,35.5114906,127.4010593
황등중학교,전라북도 익산시 황등면 황금로 18,36.00753655,126.9459699
삼계중학교,전라북도 임실군 삼계면 삼계2길 16,35.51000699,127.2738797
용안중학교,전라북도 익산시 용안면 현내1로 71-8,36.11646976,126.9529583
정읍여자중학교,전라북도 정읍시 초산로 110,35.5680704,126.8563949
장계중학교,전라북도 장수군 장계면 장무로 239-6,35.73247313,127.5826999
신림중학교,전라북도 고창군 신림면 대강길 19-2,35.48793032,126.7175946
익산부송중학교,전라북도 익산시 선화로69길 6,35.95596349,126.9959986
적상중학교,전라북도 무주군 적상면 여용로 269,35.93509921,127.6565828
신태인중학교,전라북도 정읍시 신태인읍 서태길 108,35.69198096,126.8937261
삼남중학교,전라북도 부안군 부안읍 용계길 29,35.72920143,126.7422519
남원중학교,전라북도 남원시 만인로 41-51,35.42133278,127.3794518
상서중학교,전라북도 부안군 상서면 고인돌로 17,35.68741026,126.6765207
상하중학교,전라북도 고창군 상하면 상하1길 34,35.4453728,126.4882935
함열중학교,전라북도 익산시 함열읍 함열3길 37,36.0827198,126.9597687
전주평화중학교,전라북도 전주시 완산구 평화로 74,35.78337483,127.1340232
왕궁중학교,전라북도 익산시 왕궁면 왕궁로 556,35.96712764,127.0909328
