학교명,주소,위도,경도
삼우초등학교,전라북도 완주군 고산면 천호로 27-16,35.9673005,127.1805596
보성초등학교,전라북도 정읍시 북면 연지길 38-27,35.60334076,126.9278565
군산미장초등학교,전라북도 군산시 미장안길 14,35.9656673,126.7276099
수지초등학교,전라북도 남원시 수지면 내호곡3길 21,35.33700444,127.3735189
전주미산초등학교,전라북도 전주시 덕진구 전미로 160,35.88395549,127.1096907
황산초등학교,전라북도 김제시 황산면 용마로 75,35.79637779,126.9446909
무주중앙초등학교,전라북도 무주군 무주읍 향학로 87,36.01276658,127.6645466
전주전라초등학교,전라북도 전주시 덕진구 심방죽로 24,35.83919242,127.152228
전주서문초등학교,전라북도 전주시 완산구 서신천변11길 19,35.82984999,127.1120592
이리신흥초등학교,전라북도 익산시 하나로3길 10,35.93481066,126.9790026
김제중앙초등학교,전라북도 김제시 동서로 193,35.8009089,126.8887509
봉서초등학교,전라북도 완주군 봉동읍 원둔산6길 5,35.96231406,127.1251474
청완초등학교,전라북도 완주군 봉동읍 완주산단9로 80,35.96359933,127.1204786
미륵초등학교,전라북도 익산시 금마면 용순길 243,36.00138197,127.0226167
군산금광초등학교,전라북도 군산시 대학로 100,35.98219065,126.7062198
옥산초등학교,전라북도 군산시 옥산면 여로2길 40,35.94073243,126.7494349
마령초등학교,전라북도 진안군 마령면 임진로 2122,35.73550676,127.3691924
진안초등학교,전라북도 진안군 진안읍 중앙로 55,35.79123409,127.4241464
오천초등학교,전라북도 진안군 진안읍 죽산로 5,35.77627462,127.4928803
상관초등학교,전라북도 완주군 상관면 신리로 115,35.77231085,127.2059173
전주아중초등학교,전라북도 전주시 덕진구 인교5길 23,35.82769773,127.1756551
백석초등학교,전라북도 김제시 백산로 54,35.82867224,126.893416
인월초등학교,전라북도 남원시 인월면 인월1길 55,35.46409032,127.6018315
소양서초등학교,전라북도 완주군 소양면 명덕로 38,35.8598927,127.2106093
전주온빛초등학교,전라북도 전주시 덕진구 틀못3길 7,35.84241844,127.0564499
군산풍문초등학교,전라북도 군산시 풍마길 22,35.97727412,126.7187459
삼례중앙초등학교,전라북도 완주군 삼례읍 웃삼례길 17-10,35.91952201,127.0815038
대강초등학교,전라북도 남원시 대강면 섬진로 852,35.34630333,127.229151
진안중앙초등학교,전라북도 진안군 진안읍 학천변길 37-6,35.79574813,127.4361866
원천초등학교,전라북도 남원시 주천면 외평2길 23,35.38845557,127.4454244
대리초등학교,전라북도 임실군 신평면 대리로 187,35.65975688,127.269925
금암초등학교,전라북도 군산시 서수면 황등서로 351-8,36.00630365,126.9067514
군산서초등학교,전라북도 군산시 중앙로 230,35.99063512,126.7065216
전주대성초등학교,전라북도 전주시 완산구 고덕산1길 20,35.79759727,127.1777868
무장초등학교,전라북도 고창군 무장면 무장초등길 24,35.41440168,126.5644772
군산진포초등학교,전라북도 군산시 나운안길 54,35.96584164,126.7050252
삼례동초등학교,전라북도 완주군 삼례읍 구와로 13,35.9205419,127.1062058
이리삼성초등학교,전라북도 익산시 하나로15길 17-7,35.98832641,126.9759497
구천초등학교,전라북도 무주군 설천면 구천동로 898,35.90923733,127.7771967
신시도초등학교야미도분교장,전라북도 군산시 옥도면 야미도3길 12,35.84194069,126.4921607
간중초등학교,전라북도 완주군 용진읍 간중길 39,35.89126699,127.1817903
전주중앙초등학교,전라북도 전주시 완산구 경기전길 99,35.81504675,127.1513304
괴목초등학교,전라북도 무주군 적상면 괴목로 536-4,35.9466345,127.7160372
이리부송초등학교,전라북도 익산시 부송로2길 27,35.95523556,126.9937054
함열초등학교,전라북도 익산시 함열읍 함열8길 2,36.07786198,126.966003
조림초등학교,전라북도 진안군 정천면 봉학로 52,35.87246256,127.4302902
소양초등학교,전라북도 완주군 소양면 소양로 239,35.85688149,127.2342029
공음초등학교,전라북도 고창군 공음면 공음길 20,35.3768941,126.5114306
감곡초등학교,전라북도 정읍시 감곡면 감곡동서로 355,35.71813902,126.9255381
산서초등학교,전라북도 장수군 산서면 동백로 7,35.5878591,127.3952909
덕과초등학교,전라북도 남원시 덕과면 덕오로 298,35.51421746,127.3537633
이리송학초등학교,전라북도 익산시 학곤로 57,35.9369867,126.9407056
성산초등학교,전라북도 군산시 성산면 동군산로 39,35.99058423,126.7858263
오동초등학교,전라북도 남원시 이백면 이백로 147,35.42730863,127.4233385
군산수송초등학교,전라북도 군산시 월명로 312,35.97281678,126.7164444
부용초등학교,전라북도 김제시 백구면 황토로 1030,35.87623076,126.951677
익산한벌초등학교,전라북도 익산시 부송1로 115,35.95887949,126.9945279
익산초등학교,전라북도 익산시 동서로61길 27-38,35.95459599,126.979541
수남초등학교,전라북도 장수군 장수읍 장수로 1898,35.6253493,127.5073013
이리동남초등학교,전라북도 익산시 동천로7길 18,35.93132058,126.9707108
익산어양초등학교,전라북도 익산시 하나로10길 23,35.96162472,126.9833593
외궁초등학교,전라북도 진안군 성수면 가외반로 498,35.70655516,127.3259108
전주송북초등학교,전라북도 전주시 덕진구 천마산로 16,35.86337797,127.1243496
전주평화초등학교,전라북도 전주시 완산구 꽃밭정로 65,35.79945862,127.1394668
전주중인초등학교,전라북도 전주시 완산구 중인1길 80,35.77133085,127.0979383
금지동초등학교,전라북도 남원시 금지면 금지순환길 888-10,35.35647711,127.2986504
입암초등학교,전라북도 정읍시 입암면 입암중앙길 29,35.50551794,126.7968706
남원서원초등학교,전라북도 남원시 대산면 남문로 109,35.4046548,127.3434735
왕궁초등학교,전라북도 익산시 왕궁면 견우길 3,35.96630478,127.0898836
전주조촌초등학교,전라북도 전주시 덕진구 쪽구름로 39,35.86952543,127.0758772
고산초등학교,전라북도 완주군 고산면 고산로 153,35.97543375,127.2141308
대산초등학교,전라북도 고창군 대산면 장자산로 669,35.32857453,126.5637267
이리고현초등학교,전라북도 익산시 선화로23길 44,35.95210271,126.9468976
전주교육대학교전주부설초등학교,전라북도 전주시 완산구 팔달로 74,35.80845873,127.1511138
이백초등학교,전라북도 남원시 이백면 평촌길 30,35.42974152,127.4612148
전주팔복초등학교,전라북도 전주시 덕진구 팔과정로 181,35.86366762,127.0945846
백구초등학교,전라북도 김제시 백구면 석담2길 36,35.88643131,126.9702089
남원도통초등학교,전라북도 남원시 대교2길 22,35.413792,127.3947577
이리팔봉초등학교,전라북도 익산시 무왕로31길 10,35.96759569,127.0130223
백룡초등학교,전라북도 부안군 백산면 시기길 15,35.71883494,126.8100597
전주용소초등학교,전라북도 전주시 덕진구 송천4길 38,35.86223622,127.1176761
전주중산초등학교,전라북도 전주시 완산구 중산중앙로 9-10,35.81746652,127.1196127
군산구암초등학교,전라북도 군산시 경암3길 64-1,35.9807728,126.7319763
전주전일초등학교,전라북도 전주시 덕진구 태진로 98,35.83036037,127.1375719
무녀도초등학교,전라북도 군산시 옥도면 무녀도2길 33,35.80466804,126.4237472
옹동초등학교,전라북도 정읍시 옹동면 칠석1길 29-7,35.64728052,126.9763458
군산푸른솔초등학교,전라북도 군산시 축동로 20,35.96146082,126.7113629
임피초등학교,전라북도 군산시 임피면 동헌길 38,35.98780017,126.8499764
이리석암초등학교,전라북도 익산시 서동로46길 119,35.93518731,127.0081764
남원용성초등학교,전라북도 남원시 용성로 29,35.40936565,127.3798565
황등남초등학교,전라북도 익산시 황등면 황등서로 44,36.0033501,126.9387491
변산초등학교,전라북도 부안군 변산면 지서1길 11,35.66251905,126.5280199
줄포초등학교,전라북도 부안군 줄포면 줄포초교길 16,35.59193077,126.6809229
월촌초등학교,전라북도 김제시 입석7길 119,35.7891504,126.8681157
이리동초등학교,전라북도 익산시 동서로51길 57,35.95764207,126.9769617
남원왕치초등학교,전라북도 남원시 박달길 37,35.43458682,127.3822648
망성초등학교,전라북도 익산시 망성면 여강로 903,36.12069957,127.0286424
심창초등학교,전라북도 김제시 진봉면 지평선로 1295,35.85820977,126.7217652
적상초등학교,전라북도 무주군 적상면 삼가로 16,35.93175778,127.6558167
유등초등학교,전라북도 순창군 유등면 유등로 413,35.36210949,127.1884292
오봉초등학교,전라북도 군산시 회현면 오봉길 55,35.88835686,126.7255771
동향초등학교,전라북도 진안군 동향면 하양지1길 5,35.83944175,127.5656987
이리북일초등학교,전라북도 익산시 동서로19길 100,35.96278758,126.9592211
대흥초등학교,전라북도 정읍시 입암면 정읍남로 766,35.5248992,126.8084785
순창중앙초등학교,전라북도 순창군 순창읍 장류로 385,35.37769818,127.1445028
이리서초등학교,전라북도 익산시 익산대로 213,35.94527012,126.9489539
군산동초등학교,전라북도 군산시 번영로 181,35.96496069,126.7381229
남원노암초등학교,전라북도 남원시 여수길 14,35.39594928,127.3764889
이평초등학교,전라북도 정읍시 이평면 말목장터길 5-29,35.66231646,126.8385969
성수초등학교,전라북도 임실군 성수면 임진로 189,35.6297244,127.3303375
신림초등학교,전라북도 고창군 신림면 동법지길 61,35.49424843,126.7001969
가평초등학교,전라북도 고창군 신림면 가평로 472,35.47791066,126.738514
한솔초등학교,전라북도 정읍시 학산로 69,35.56149114,126.8731418
군산신풍초등학교,전라북도 군산시 하나운3길 7,35.96377098,126.6957922
이리신동초등학교,전라북도 익산시 무왕로 981,35.96164474,126.9672193
칠보초등학교,전라북도 정읍시 칠보면 칠보중앙로 130,35.60649429,126.9899785
전주지곡초등학교,전라북도 전주시 완산구 평화로 85,35.78433159,127.1329067
교암초등학교,전라북도 정읍시 정읍사로 179,35.52603685,126.8457849
운주초등학교,전라북도 완주군 운주면 운주로 107,36.09215567,127.2779171
전주초포초등학교,전라북도 전주시 덕진구 초포로 171,35.87717541,127.1397004
김제북초등학교,전라북도 김제시 콩쥐팥쥐로 306-56,35.81496393,126.9338485
익산옥야초등학교,전라북도 익산시 옛둑2길 52,35.92227222,126.959991
군산미성초등학교,전라북도 군산시 칠성2길 27,35.95792208,126.6743162
삼기초등학교,전라북도 익산시 삼기면 황금로 523,36.02006653,126.9854993
전주완산서초등학교,전라북도 전주시 완산구 안행로 127,35.8067646,127.1336242
소룡초등학교,전라북도 군산시 설림길 55,35.97466179,126.6824766
성송초등학교,전라북도 고창군 성송면 백토1길 10,35.35625104,126.6435418
난산초등학교,전라북도 김제시 백구면 금백로 1213,35.87745611,126.9958992
남원월락초등학교,전라북도 남원시 용성로 321,35.42367061,127.4044804
부안초등학교,전라북도 고창군 부안면 복분자로 806,35.51185576,126.6632169
군산경포초등학교,전라북도 군산시 백릉로 75,35.97659337,126.7347144
운봉초등학교,전라북도 남원시 운봉읍 운봉로 725,35.44128653,127.5330641
군산서해초등학교,전라북도 군산시 의료원로 162,35.95964592,126.6998994
신태인초등학교,전라북도 정읍시 신태인읍 신태인1길 54-3,35.68619174,126.8896769
상서초등학교,전라북도 부안군 상서면 고인돌로 314,35.70784637,126.6599137
전주교육대학교군산부설초등학교,전라북도 군산시 팔마로 185,35.97396352,126.7226169
비봉초등학교,전라북도 완주군 비봉면 비봉소농길 40,35.99799132,127.1395036
수곡초등학교,전라북도 정읍시 칠보면 여옥길 11,35.56783407,126.9585692
