주소,위도,경도
전라북도 고창군 대성로 234-0,35.33867309,126.600334
전라북도 고창군 대성로 235-0,35.33889861,126.600038
전라북도 고창군 월곡1길 45-0,35.4385385,126.7102584
전라북도 고창군 모양성로 51-0,35.43605052,126.7009474
전라북도 고창군 중앙로 239-0,35.43526156,126.7015494
전라북도 고창군 남정1길 57-0,35.43009939,126.6969591
전라북도 고창군 중앙로 215-0,35.43536437,126.6990656
전라북도 고창군 화신1길 9-0,35.43637957,126.6933215
전라북도 고창군 중앙로 206-0,35.43498326,126.6980069
전라북도 고창군 교촌1길 18-0,35.43656898,126.7049103
전라북도 고창군 중거리당산로 88-0,35.42782823,126.6975639
전라북도 고창군 보릿골로 169-0,35.44049798,126.695544
전라북도 고창군 해리중앙로 142-0,35.46438902,126.537441
전라북도 고창군 해리중앙로 113-0,35.46206596,126.5387017
전라북도 고창군 심원로 192-0,35.52323203,126.5490824
전라북도 고창군 진암구시포로 15-0,35.44277667,126.4893319
전라북도 고창군 상포길 2-0,35.55818405,126.629236
전라북도 고창군 복분자로 903-0,35.51323913,126.6741173
전라북도 고창군 무장읍성길 13-4,35.41536067,126.5599006
전라북도 고창군 참나무정1길 8-0,35.37728582,126.5129297
전라북도 고창군 참나무정1길 22-0,35.37811404,126.5119007
전라북도 고창군 고인돌대로 2422-0,35.49470494,126.7014376
전라북도 고창군 녹두로 801-0,35.44027906,126.6364416
전라북도 고창군 녹두로 783-0,35.44033746,126.6343226
전라북도 고창군 시기1길 49-0,35.53970765,126.7410002
전라북도 고창군 문화1길 5-0,35.51904816,126.6997298
