주소,위도,경도,
전라북도 전주시 덕진구 모래내5길 10-0,35.83358609,127.1445346,
전라북도 전주시 덕진구 거북바우로 143-0,35.84326143,127.1511422,
전라북도 전주시 덕진구 명주3길 15-0,35.84383152,127.1480681,
전라북도 전주시 덕진구 심방죽로 57-0,35.84097219,127.1515396,
전라북도 전주시 덕진구 인교6길 15-0,35.82541333,127.1712688,
전라북도 전주시 덕진구 숲정이로 41-1,35.83235649,127.1323392,
전라북도 전주시 덕진구 팔달로 356-0,35.83227807,127.1381181,
전라북도 전주시 덕진구 팔달로 339-0,35.83081983,127.1386713,
전라북도 전주시 덕진구 숲정이5길 75-0,35.83376398,127.1281071,
전라북도 전주시 덕진구 태진로 91-0,35.82910791,127.1360475,
전라북도 전주시 덕진구 중상보로 30-0,35.83304495,127.1708021,
전라북도 전주시 덕진구 석소3길 13-0,35.83411585,127.170017,
전라북도 전주시 덕진구 아중중앙로 17-0,35.82986273,127.1721081,
전라북도 전주시 덕진구 정언신로 163-0,35.83135629,127.171291,
전라북도 전주시 덕진구 아중6길 24-4,35.83238116,127.1718202,
전라북도 전주시 덕진구 아중중앙로 8-0,35.82926587,127.172888,
전라북도 전주시 덕진구 한배미6길 23-0,35.82258424,127.1692571,
전라북도 전주시 덕진구 견훤로 310-0,35.83904417,127.1560146,
전라북도 전주시 덕진구 무삼지로 47-0,35.82989091,127.1636723,
전라북도 전주시 덕진구 한배미6길 20-0,35.82315916,127.1683564,
전라북도 전주시 덕진구 정언신로 70-0,35.83038348,127.1615859,
전라북도 전주시 덕진구 정언신로 70-0,35.83038348,127.1615859,
전라북도 전주시 덕진구 한배미4길 9-0,35.824207,127.1661932,
전라북도 전주시 덕진구 팽나무5길 18-0,35.83512763,127.1557708,
전라북도 전주시 덕진구 진버들1길 38-1,35.8373779,127.1604223,
전라북도 전주시 덕진구 동가재미1길 24-8,35.8320201,127.1635674,
전라북도 전주시 덕진구 매봉로 10-0,35.8391323,127.1420753,
전라북도 전주시 덕진구 전주천동로 473-0,35.8354191,127.1284012,
전라북도 전주시 덕진구 삼송1길 4-0,35.84104206,127.1328638,
전라북도 전주시 덕진구 매봉로 48-1,35.84224556,127.1407285,
전라북도 전주시 덕진구 태진로 131-2,35.83270373,127.1352742,
전라북도 전주시 덕진구 권삼득로 303-0,35.84321951,127.1284501,
전라북도 전주시 덕진구 용산1길 12-0,35.83495176,127.1305249,
전라북도 전주시 덕진구 팔달로 377-0,35.83374957,127.1362105,
전라북도 전주시 덕진구 거북바우3길 13-0,35.83800194,127.1390741,
전라북도 전주시 덕진구 건지로 12-0,35.84478915,127.1427407,
전라북도 전주시 덕진구 원만성로 3-0,35.85034345,127.0824966,
전라북도 전주시 덕진구 만성동로 12-0,35.83862291,127.0750221,
전라북도 전주시 덕진구 만성중앙로 35-0,35.84357076,127.0756865,
전라북도 전주시 덕진구 호반6길 13-4,35.85141191,127.1171816,
전라북도 전주시 덕진구 덕진연못3길 9-0,35.84686315,127.1205855,
전라북도 전주시 덕진구 덕진연못3길 9-3,35.8470759,127.1201695,
전라북도 전주시 덕진구 가련산로 14-0,35.84089498,127.1108104,
전라북도 전주시 덕진구 산정2길 8-0,35.83715408,127.1697008,
전라북도 전주시 덕진구 아중천2길 46-0,35.83633455,127.1707908,
전라북도 전주시 덕진구 안덕원로 370-0,35.83894619,127.1673491,
전라북도 전주시 덕진구 산정2길 13-0,35.83747189,127.1690439,
전라북도 전주시 덕진구 안덕원1길 30-0,35.84063236,127.1650645,
전라북도 전주시 덕진구 안덕원1길 39-0,35.8401211,127.1657635,
전라북도 전주시 덕진구 견훤로 495-0,35.85503859,127.1538384,
전라북도 전주시 덕진구 우아3길 13-0,35.84872491,127.1555455,
전라북도 전주시 덕진구 도당산4길 63-0,35.84588182,127.1546956,
전라북도 전주시 덕진구 우아10길 21-0,35.85244172,127.1573197,
전라북도 전주시 덕진구 우아8길 18-0,35.85098721,127.1578479,
전라북도 전주시 덕진구 덕진연못1길 9-3,35.84518436,127.1231843,
전라북도 전주시 덕진구 명륜4길 25-0,35.84405899,127.1272177,
전라북도 전주시 덕진구 소리로 54-0,35.85367053,127.1408646,
