주소,위도,경도
전라북도 전주시 완산구 모악산자락길 22-0,35.76749289,127.101535
전라북도 전주시 완산구 구이로 2011,35.77730089,127.1284403
전라북도 전주시 완산구 평화3길 4-3,35.7832377,127.1328445
전라북도 전주시 완산구 양지1길 16-3,35.79092759,127.118871
전라북도 전주시 완산구 모악로 4703-0,35.78933714,127.1304279
전라북도 전주시 완산구 소대배기로 28,35.78676726,127.1332306
전라북도 전주시 완산구 양지2길 11-15,35.79284385,127.1248432
전라북도 전주시 완산구 맏내로 28-0,35.78453749,127.1274514
전라북도 전주시 완산구 구이로 2094-0,35.78322279,127.131981
전라북도 전주시 완산구 평화로 106-0,35.78607816,127.1344423
전라북도 전주시 완산구 구이로 2094-0,35.78322279,127.131981
전라북도 전주시 완산구 평화13길 15-0,35.79059439,127.137478
전라북도 전주시 완산구 장승배기로 186,35.79548374,127.1332432
전라북도 전주시 완산구 꽃밭정로 49,35.79822937,127.1378626
전라북도 전주시 완산구 모악로 4746,35.7929159,127.1323047
전라북도 전주시 완산구 덕적골2길 22-0,35.79661683,127.1401966
전라북도 전주시 완산구 거마산로 3-0,35.79645917,127.1217775
전라북도 전주시 완산구 거마산2길 21-4,35.79601864,127.1226499
전라북도 전주시 완산구 삼천천변1길 32-0,35.79394568,127.1133443
전라북도 전주시 완산구 강변로 96-0,35.79981751,127.1112145
전라북도 전주시 완산구 양지1길 15-11,35.79185206,127.1200124
전라북도 전주시 완산구 삼천천변2길 39-0,35.79669542,127.1145944
전라북도 전주시 완산구 용리로 90-0,35.79848638,127.1196267
전라북도 전주시 완산구 백제대로 58-0,35.7997485,127.1290417
전라북도 전주시 완산구 거마중앙로 11-0,35.79664482,127.1180778
전라북도 전주시 완산구 삼천천변3길 22-0,35.79789833,127.1120196
전라북도 전주시 완산구 흑석로 21-1,35.80219699,127.1503508
전라북도 전주시 완산구 서학로 19-0,35.8098506,127.1516402
전라북도 전주시 완산구 장승배기로 378-4,35.80472069,127.151084
전라북도 전주시 완산구 서학로 36-0,35.80945714,127.1533902
전라북도 전주시 완산구 천경로 1-0,35.80667035,127.1530383
전라북도 전주시 완산구 고덕산1길 14-0,35.79805595,127.1784386
전라북도 전주시 완산구 춘향로 5277-0,35.80066289,127.1708426
전라북도 전주시 완산구 매곡로 27-17,35.80960801,127.1448158
전라북도 전주시 완산구 용머리로 212-0,35.80770596,127.1332238
전라북도 전주시 완산구 신봉로 48-0,35.81019755,127.120093
전라북도 전주시 완산구 안행로 112,35.80632019,127.1343503
전라북도 전주시 완산구 안행로 116,35.80652756,127.1342804
전라북도 전주시 완산구 신봉로 48,35.81019755,127.120093
전라북도 전주시 완산구 용머리로 103-18,35.80759445,127.1216875
