주소,위도,경도
전라북도 임실군 오수로 178-0,35.54006,127.3268563
전라북도 임실군 충효로 2044-0,35.54124062,127.3291696
전라북도 임실군 오수로 178-0,35.54006,127.3268563
전라북도 임실군 충효로 1299-0,35.50900452,127.2755983
전라북도 임실군 호국로 68-0,35.53073295,127.1658053
전라북도 임실군 갈담3길 18-0,35.53055518,127.1637187
전라북도 임실군 호국로 7-0,35.52966872,127.1601817
전라북도 임실군 봉황로 140-0,35.61318946,127.2786737
전라북도 임실군 봉황로 313-0,35.62472382,127.2916055
전라북도 임실군 봉황로 162-2,35.6145644,127.2803744
전라북도 임실군 운수로 17-0,35.61553722,127.2832745
전라북도 임실군 임진로 213-0,35.62991857,127.3331064
전라북도 임실군 석등슬치로 349-0,35.65527335,127.2236609
전라북도 임실군 상운길 46-0,35.6648118,127.1541659
전라북도 임실군 구이로 6-0,35.60963848,127.1066107
전라북도 임실군 사선6길 10-0,35.67488599,127.2710347
전라북도 임실군 사선1길 27-0,35.67475812,127.2707829
전라북도 임실군 사선로 72-0,35.6766654,127.2689379
전라북도 임실군 사선1길 47-0,35.67635479,127.2697946
