주소,위도,경도
전라북도 장수군 장수로 489-0,35.5322282,127.5440483
전라북도 장수군 신평로 318-0,35.53298679,127.5456904
전라북도 장수군 동강길 6-0,35.53298976,127.5460507
전라북도 장수군 신덕길 9-4,35.58320957,127.3951946
전라북도 장수군 비행로 8-0,35.58538821,127.3938882
전라북도 장수군 비행로 28-1,35.58480107,127.3956616
전라북도 장수군 산서면 비행로 24,35.58476649,127.3952692
전라북도 장수군 덕산로 16,35.64558525,127.5197467
전라북도 장수군 장천로 188-0,35.64893808,127.5192261
전라북도 장수군 싸리재로 4-0,35.64911559,127.5192351
전라북도 장수군 장천로 143-0,35.64516274,127.5174644
전라북도 장수군 호비로 36-0,35.64919588,127.5214082
전라북도 장수군 장천로 186-0,35.64879936,127.5190616
전라북도 장수군 장수로 1886-0,35.62421823,127.5066078
전라북도 장수군 장수로 3057-0,35.70165645,127.5773754
전라북도 장수군 송탄로 36-0,35.73679023,127.5335089
전라북도 장수군 한들로 145-0,35.73155957,127.5878975
전라북도 장수군 한들로 81-0,35.73123458,127.5811059
전라북도 장수군 장무로 235-0,35.73213703,127.5830198
전라북도 장수군 성곡길 4-1,35.68376867,127.6216295
전라북도 장수군 장무로 972-0,35.78596004,127.6134443
전라북도 장수군 장무로 1345-0,35.81201742,127.6299682
