,학교명,주소,위도,경도
0,전주북일초등학교,덕진구 견훤로 336,35.84208627,127.1559492
1,전주기린초등학교,덕진구 견훤로260,35.83508761,127.1591419
2,전주동북초등학교,덕진구 견훤왕궁로 227,35.83899099,127.1444129
3,전주하가초등학교,덕진구 경동로 11,35.84383896,127.1066001
4,전주중앙중학교,덕진구 공북2길 20,35.82800762,127.1380542
5,전주금암초등학교,덕진구 권삼득로 210,35.83809479,127.1368539
6,전주덕진중학교,덕진구 기린대로 541-48,35.84406521,127.1169315
7,전주기린중학교,덕진구 동부대로 739,35.8541504,127.1569104
8,전라중학교,덕진구 들사평1길 39,35.83755007,127.123463
9,전주덕진초등학교,덕진구 들사평로 61,35.84126266,127.1242898
10,전주양현중학교,덕진구 만성북4길 10,35.84777267,127.0747011
11,전주양현초등학교,덕진구 만성서로96,35.84678295,127.0743531
12,전주금평초등학교,덕진구 명주3길 16,35.8433282,127.1467912
13,전주여자고등학교,덕진구 모래내6길 14,35.83662729,127.145885
14,전주유화학교,덕진구 모래내6길 26-16,35.83732057,127.1459344
15,전일중학교,덕진구 모래내6길 36,35.83835007,127.1451159
16,전주온고을중학교,덕진구 무삼지로 26,35.82919201,127.1654968
17,전주인후초등학교,덕진구 무삼지로 67,35.8318746,127.1624638
18,전주인봉초등학교,덕진구 무삼지로 7,35.82691771,127.1650204
19,전주호성중학교,덕진구 배미실마을길 23,35.86432944,127.1571788
20,전북대학교사범대학부설고등학교,덕진구 백제대로 567,35.8411407,127.1315899
21,전주중앙여자고등학교,덕진구 석소로 25,35.82828301,127.1678276
22,전주자연초등학교,덕진구 세병로 150,35.87771746,127.1356574
23,전주화정초등학교,덕진구 세병로 55,35.87304123,127.1315111
24,전주화정중학교,덕진구 세병로 66,35.87158351,127.1306347
25,전주북초등학교,덕진구 소리로 180,35.85655402,127.1515186
26,전주중학교,덕진구 솔내5길 9,35.85780449,127.1227172
27,전주솔빛중학교,덕진구 솔내6길 33,35.85903251,127.124056
28,전라고등학교,덕진구 솔내7길 25,35.8607435,127.1251438
29,전주신동초등학교,덕진구 솔내로211,35.86895422,127.1266587
30,전주송천초등학교,덕진구 송천1길 10,35.85681803,127.1199894
31,용소초등학교,덕진구 송천4길 38,35.86223622,127.1176761
32,전주용소중학교,덕진구 송천로 112,35.86268677,127.1174747
33,전주솔내고등학교,덕진구 송천중앙로 170,35.86301323,127.1225064
34,전주동중학교,덕진구 심방죽로 23,35.83854196,127.150888
35,전주온샘유치원,덕진구 심방죽로 24,35.83919242,127.152228
36,전주전라초등학교,덕진구 심방죽로 24,35.83919242,127.152228
37,전주생명과학고등학교,덕진구 안덕원로 195,35.83672624,127.1490519
38,유일여자고등학교,덕진구 안덕원로 301,35.83904823,127.1599927
39,전주공업고등학교,덕진구 여산로 101,35.86235186,127.0753697
40,전북여자고등학교,덕진구 여산로 232,35.87301072,127.0840537
41,전주송원초등학교,덕진구 와룡로 25,35.86154103,127.1110038
42,전주용덕초등학교,덕진구 용덕길 30,35.87694865,127.0514662
43,전주원동초등학교,덕진구 원동로 3,35.85146638,127.0328013
44,전주장동초등학교,덕진구 원장동길91-12,35.84928596,127.0601031
45,전주아중초등학교,덕진구 인교5길 23,35.82769773,127.1756551
46,전주미산초등학교,덕진구 전미로 160,35.88395549,127.1096907
47,전주아름유치원,덕진구 정여립로 874,35.83034042,127.072703
48,전주만성초등학교,덕진구 중동로 32,35.83673137,127.0654162
49,전주아중중학교,덕진구 중상보로 16,35.83248496,127.1703814
50,전주진북초등학교,덕진구 진북1길 11,35.82531307,127.1320076
51,우석고등학교,덕진구 쪽구름2길 22,35.87323498,127.0779988
52,전북중학교,덕진구 쪽구름2길 22,35.87323498,127.0779988
53,전주조촌초등학교,덕진구 쪽구름로39,35.86952543,127.0758772
54,전주송북초등학교,덕진구 천마산로 16,35.86337797,127.1243496
55,전주오송중학교,덕진구 천마산로 69,35.86587029,127.1284673
56,전주오송초등학교,덕진구 천마산로 87,35.86597905,127.1304116
57,전주초포초등학교,덕진구 초포로 171,35.87717541,127.1397004
58,전주전일초등학교,덕진구 태진로98,35.83036037,127.1375719
59,양현고등학교,덕진구 틀못2길 9,35.8421555,127.0589864
60,전주온빛초등학교,덕진구 틀못3길 7,35.84241844,127.0564499
61,전주온빛중학교,덕진구 틀못4길 10,35.84350884,127.058398
62,전주팔복초등학교,덕진구 팔과정로 181,35.86374233,127.0945916
63,전주덕일중학교,덕진구 하가로 67,35.84798826,127.1111668
64,전주덕일초등학교,덕진구 하가로 71,35.84855719,127.1117899
65,전주반월초등학교,덕진구 혁신로 707,35.87539195,127.0737221
66,전주만수초등학교,덕진구 호성로 130,35.86298745,127.1476087
67,전주우아중학교,덕진구 호성로 6,35.85413557,127.1536003
68,전주새솔유치원,덕진구 화암1길 24,35.8745863,127.1394618
69,,전라북도 전주시 덕진구 우아7길 13,35.84982681,127.1546178
70,,전라북도 전주시 덕진구 신복7길 2-14,35.85549061,127.1043039
71,,전라북도 전주시 덕진구 송천동2가 천마산로 115,35.86515489,127.1353493
72,,전라북도 전주시 덕진구 덕용1길 53-3,35.87103707,127.0807711
73,,전라북도 전주시 덕진구 안골4길 20,35.84169741,127.1567544
74,,전라북도 전주시 덕진구 덕용1길 53-1,35.87113893,127.0811367
75,,전라북도 전주시 덕진구 매봉8길 17-14,35.83988798,127.1387812
76,,전라북도 전주시 덕진구 붓내4길 17-1,35.86820272,127.1229622
77,,전라북도 전주시 덕진구 인후동1가 무삼지3길 5-1,35.82747025,127.1625929
78,,전라북도 전주시 덕진구 기린대로 1018-7,35.86841198,127.0746562
79,,전라북도 전주시 덕진구 솔내7길 39-2,35.85980433,127.1258113
80,,전라북도 전주시 덕진구 용흥길 26,35.87410781,127.1115162
81,,전라북도 전주시 덕진구 모래내8길 23,35.83488369,127.1432081
82,,전라북도 전주시 덕진구 인후동1가 석소로 55,35.83271067,127.1653216
83,,전라북도 전주시 덕진구 아중6길 24-4,35.83238116,127.1718202
84,,전라북도 전주시 덕진구 와룡로 109-13,35.86889171,127.1129835
85,,전라북도 전주시 덕진구 송천동2가 용흥길 12-6,35.87407503,127.1127446
86,,전라북도 전주시 덕진구 초당길 85-12,35.87127137,127.1543042
87,,전라북도 전주시 덕진구 삼거2길 4,35.85355094,127.1906485
88,,전라북도 전주시 덕진구 가리내로 42-13,35.83453646,127.1305242
89,,전라북도 전주시 덕진구 송천중앙로 100  -3,35.85596874,127.1209215
90,,전라북도 전주시 덕진구 덕진동2가 하가2길 29-39,35.84639679,127.1156842
91,,전라북도 전주시 덕진구 백제대로 567,35.8411407,127.1315899
92,,전라북도 전주시 덕진구 진북1길 26,35.82730713,127.1328834
93,,전라북도 전주시 덕진구 매봉로 23,35.84001967,127.1410883
94,,전라북도 전주시 덕진구 상리5길 8-5,35.85139346,127.1009799
95,,전라북도 전주시 덕진구 송천중앙로 165,35.86163072,127.1208931
96,,전라북도 전주시 덕진구 오공로 71,35.83805553,127.062305
97,,전라북도 전주시 덕진구 무삼지5길 18,35.82739041,127.1636449
98,,전라북도 전주시 덕진구 인후동1가 한배미6길 26,35.82227522,127.1679561
