,학교명,주소,위도,경도
0,상산고등학교,완산구 거마평로 130,35.80508487,127.1197274
1,전주성심여자고등학교,완산구 경기전길 130,35.81195132,127.150661
2,전주해성고등학교,완산구 계룡산길 88,35.78676751,127.1008413
3,전주제일고등학교,완산구 관선5길 15,35.82095883,127.1580639
4,전주고등학교,완산구 권삼득로 2,35.82470798,127.1525515
5,완산고등학교,완산구 능안자구길 55,35.80240918,127.083885
6,완산여자고등학교,완산구 덕적골 1길 60,35.79206908,127.1383085
7,전주상업정보고등학교,완산구 따박골2길 21,35.81067636,127.124988
8,전주한일고등학교,완산구 백제대로 442,35.83123926,127.1236579
9,전주신흥고등학교,완산구 서원로 399,35.81541013,127.1362767
10,호남제일고등학교,완산구 서원로53,35.81390641,127.0992598
11,동암고등학교,완산구 소태정4길 1,35.80652136,127.1012295
12,전주근영여자고등학교,완산구 영경1길 11,35.82030227,127.1246416
13,전일고등학교,완산구 우전로 249,35.81567593,127.0997119
14,전주기전여자고등학교,완산구 유연로 133,35.82623909,127.100655
15,한국전통문화고등학교,완산구 중인1길 68-13,35.77237437,127.0976869
16,전주대학교사범대학부설고등학교,완산구 천잠로 313,35.81531188,127.0938165
17,전주영생고등학교,완산구 천잠로 333,35.81609983,127.0919874
18,서전주중학교,완산구 거마평로 205,35.81033988,127.112235
19,전주풍남중학교,완산구 거마평로 83,35.79980046,127.1152469
20,전주신일중학교,완산구 견훤왕궁2길 8,35.82896302,127.1532516
21,전주성심여자중학교,완산구 경기전길 130,35.81195132,127.150661
22,전주해성중학교,완산구 계룡산길 88,35.78676751,127.1008413
23,전주서중학교,완산구 당산로 2,35.8317185,127.1094896
24,전주완산중학교,완산구 덕적골1길 60,35.79206908,127.1383085
25,전주남중학교,완산구 덕적골2길 30,35.79608353,127.1402939
26,전주곤지중학교,완산구 매곡로 22,35.81056438,127.1432813
27,전주서곡중학교,완산구 서곡6길 23,35.83554893,127.1035986
28,전주신흥중학교,완산구 서원로 399,35.81541013,127.1362767
29,전주우전중학교,완산구 쑥고개로 375-28,35.80502803,127.1063739
30,전주서신중학교,완산구 안터2길 40,35.82877357,127.1167419
31,전주효정중학교,완산구 안행로 127,35.8067646,127.1336242
32,전주양지중학교,완산구 양지2길 11-16,35.79174135,127.1243865
33,전주근영중학교,완산구 영경1길 11,35.82030227,127.1246416
34,전주효문여자중학교,완산구 용리로 92,35.7982023,127.1198927
35,전주우림중학교,완산구 우전로 119,35.80570638,127.0990235
36,전주기전중학교,완산구 유연로133,35.82623909,127.100655
37,전주용흥중학교,완산구 장승배기로 12,35.79143487,127.1136033
38,전주평화중학교,완산구 평화로 74,35.78337483,127.1340232
39,전주효림초등학교,완산구 강변로 128,35.80299582,127.1130419
40,전주삼천남초등학교,완산구 거마남로 65 ,35.79648986,127.1237587
41,전주효문초등학교,완산구 거마평로 105,35.80153545,127.1164974
42,전주풍남초등학교,완산구 견훤왕궁로 16,35.82100253,127.1541845
43,전주중앙초등학교,완산구 경기전길 99,35.8150717,127.1513507
44,전주대성초등학교,완산구 고덕산1길 20,35.79759727,127.1777868
45,전주여울초등학교,완산구 고사평8길 11,35.83743707,127.1111606
46,전주문정초등학교,완산구 구이로 1979,35.77555003,127.1280733
47,전주평화초등학교,완산구 꽃밭정로 65,35.7994125,127.1394668
48,전주서천초등학교,완산구 당산로 9,35.83212534,127.1082808
49,전주초등학교,완산구 대동로 33,35.82259291,127.1396496
50,전주화산초등학교,완산구 따박골7길 20,35.8093452,127.1299941
51,전주홍산초등학교,완산구 마전들로 30,35.82069814,127.0987051
52,전주대정초등학교,완산구 맏내로 57,35.78580912,127.1256189
53,전주완산초등학교,완산구 매곡로22,35.81056438,127.1432813
54,전주문학초등학교,완산구 문학로 30,35.82825061,127.1026766
55,전주동초등학교,완산구 물왕멀로 72,35.82952144,127.1524688
56,전주새연초등학교,완산구 봉곡로 60,35.81149179,127.1002986
