,학교명,주소,위도,경도
0,갈담초등학교,강진면 호국로 65,35.53183596,127.1659993
1,관촌중학교,관촌면 사선10길 23,35.67849508,127.2697068
2,관촌초등학교,관촌면 사선6길 11,35.67657859,127.270434
3,대리초등학교,신평면 대리로 187,35.65975688,127.269925
4,덕치초등학교,덕치면 인덕로 1217,35.49562323,127.1481295
5,마암초등학교,운암면 마암2길 84,35.60308325,127.1047026
6,삼계중학교,삼계면 삼계2길 16,35.51000699,127.2738797
7,삼계초등학교,삼계면 삼계1길 20-3,35.50688093,127.2772255
8,섬진중학교,강진면 강운로 87,35.52698,127.1517752
9,성수중학교,성수면 월삼로 354,35.6297434,127.3358183
10,성수초등학교,성수면 임진로 189,35.62979785,127.3303375
11,신덕초등학교,신덕면 수지로 56,35.68298724,127.1758371
12,신평초등학교,신평면 가덕로683,35.65760459,127.2263267
13,오수고등학교,오수면 충효로 2099-23,35.54753286,127.3281427
14,오수중학교,오수면 충효로 2099-15,35.54686393,127.3278067
15,오수초등학교,오수면 충효로 2059,35.54270606,127.3273432
16,운암중학교,운암면 상운길 12,35.66390758,127.1564253
17,운암초등학교,운암면 상운길 12,35.66390758,127.1564253
18,임실고등학교,임실읍 봉황로 257,35.62192952,127.2867026
19,임실기림초등학교,임실읍 봉황로369,35.62896743,127.2898513
20,임실동중학교,임실읍 봉황로 147,35.61456761,127.2788369
21,임실둥지유치원,임실읍 봉황7길 15-3,35.61636812,127.2790675
22,임실초등학교,임실읍 봉황로 64-12,35.60726306,127.2707555
23,지사중학교,지사면 충효로 2469,35.56728894,127.358871
24,지사초등학교,지사면 방계3길 10,35.56432033,127.3566615
25,청웅중학교,청웅면 청웅로 131-7,35.56942024,127.1982913
26,청웅초등학교,청웅면 청웅로 188,35.57142583,127.2049038
27,한국치즈과학고등학교,강진면 갈담3길 48,35.53327378,127.1647725
28,,전라북도 임실군 임실읍 갈마2길 24,35.62584289,127.2946288
29,,전라북도 임실군 오수면 삼일로 22-1,35.54072775,127.3273629
30,,전라북도 임실군 임실읍 봉황3길 8,35.61341007,127.2774368
31,,전라북도 임실군 관촌면 사선9길 8-1,35.67537073,127.2683215
32,,전라북도 임실군 오수면 삼일로 28,35.54102175,127.3275294
33,,전라북도 임실군 임실읍 봉황11길 26-2,35.61120239,127.2812334
34,,전라북도 임실군 임실읍 운수로 38,35.61385488,127.2840017
35,,전라북도 임실군 관촌면 사선1길 26,35.67502967,127.2717086
36,,전라북도 임실군 임실읍 중동로 7,35.61281546,127.2793981
37,,전라북도 임실군 임실읍 호국로 1713-4,35.6155505,127.2878264
