학교명,주소
계남중학교,계남중길 52
계남초등학교,계남면 조곡길 1
계북중학교,계북면 장무로 1005-12
계북초등학교,장수군 계북면 문성길7
백화여자고등학교,장계면 백화로 4-31
번암중학교,번암면지지로28-12
번암초동화분교장,번암면 지지로 610
번암초등학교,번암면 동강길 21
산서고등학교,산서면 보산로 1852-6
산서중학교,산서면 보산로 1852-6
산서초등학교,산서면 동백로 7
수남초등학교,장수읍 장수로 1898
전북유니텍고등학교,장계면 장계7길 3
장계중학교,장계면 장무로 239-6
장계초등학교,장계면 한들로69
장수고등학교,장수읍 장천로 254-16
장수중학교,장수읍 호비로 68
장수초등학교,장수읍 향교길 11-8
장수한사랑유치원,장수읍 장천로 237
천천중학교,천천면 춘송길 47
천천초등학교,천천면 송탄로 22
한국마사고등학교,장계면 명덕길14
,전라북도 장수군 장계면 한들4길 16
,전라북도 장수군 장수읍 노하3길 21
,전라북도 장수군 장수읍 신천로 50
,전라북도 장수군 장수읍 덕산로 14-3
,전라북도 장수군 산서면 보산로 1847-3
,전라북도 장수군 장계면 방천길 5
,전라북도 장수군 장계면 한들로 147
