연번,사업장명,소재지지번주소,소재지도로명주소,데이터기준일자
1,Cafe Arancia,인천광역시 중구 내동 212-22 1층,인천광역시 중구 우현로49번길 10-5 1층,2021-08-05
2,디저트카페 아네모오네,인천광역시 중구 송학동3가 7-26,인천광역시 중구 신포로35번길 10-1,2021-08-05
3,관동오리진,인천광역시 중구 관동1가 14-3,인천광역시 중구 신포로27번길 96,2021-08-05
4,카페맑음,인천광역시 중구 신포동 48-3,인천광역시 중구 신포로 32-21,2021-08-05
5,팟알,인천광역시 중구 관동1가 17,인천광역시 중구 신포로27번길 96-2,2021-08-05
6,카페 보눔,인천광역시 중구 송학동1가 5-1,인천광역시 중구 신포로35번길 64,2021-08-05
7,더선셋카페,인천광역시 중구 북성동3가 4-11 더선셋빌딩,인천광역시 중구 자유공원서로 21 더선셋빌딩,2021-08-05
8,카페아키라,인천광역시 중구 북성동2가 9-69,인천광역시 중구 차이나타운로44번길 16-24,2021-08-05
9,채널트웰브,인천광역시 중구 선린동 12 채널트웰브,인천광역시 중구 차이나타운로59번길 16 채널트웰브,2021-08-05
10,코히별장,인천광역시 중구 송학동3가 7-7 1층,인천광역시 중구 신포로35번길 22-1 1층,2021-08-05
11,머치스커피 신포국제시장점,인천광역시 중구 신생동 2-12 머치스커피,인천광역시 중구 제물량로166번길 1-6 머치스커피,2021-08-05
12,인천광역시여관X루비살롱,인천광역시 중구 관동3가 4-27 대원여관,인천광역시 중구 신포로35번길 17 대원여관,2021-08-05
13,서니구락부,인천광역시 중구 중앙동2가 23,인천광역시 중구 중앙동2가 23,2021-08-05
14,카페 팔레트,인천광역시 중구 송학동3가 7-9,인천광역시 중구 신포로39번길 23,2021-08-05
15,카페관동,인천광역시 중구 관동2가 10-1 1층,인천광역시 중구 신포로31번길 47 1층,2021-08-05
16,버텀라인,인천광역시 중구 중앙동4가 8-4,인천광역시 중구 신포로23번길 23,2021-08-05
17,파크엘리,인천광역시 중구 송학동3가 4-28 2층,인천광역시 중구 송학로 24-5 2층,2021-08-05
18,도든아트하우스,인천광역시 중구 중앙동1가 10-4,인천광역시 중구 신포로23번길 90,2021-08-05
19,습관들,인천광역시 중구 내동 152,인천광역시 중구 신포로46번길 35,2021-08-05
20,프렌치빌,인천광역시 중구 관동3가 2-5,인천광역시 중구 신포로 27-1,2021-08-05
21,인천광역시서점,인천광역시 중구 해안동1가 1-5 인천광역시아트플랫폼 H동 1층,인천광역시 중구 제물량로218번길 3 인천광역시아트플랫폼 H동 1층,2021-08-05
22,카페테이블홍예,인천광역시 중구 송학동3가 7-11 1층,인천광역시 중구 홍예문로 26-1 1층,2021-08-05
23,HERGARDEN,인천광역시 중구 송학동3가 4-2 Her garden,인천광역시 중구 신포로47번길 6,2021-08-05
24,카페라코,인천광역시 중구 답동 17-5 1층,인천광역시 중구 제물량로 137-1 1층,2021-08-05
25,맹빠,인천광역시 중구 내동 162,인천광역시 중구 개항로53번길 11,2021-08-05
26,카페까미노,인천광역시 중구 신포동 23-25 신포동 카미노,인천광역시 중구 제물량로166번길 14-1 신포동 카미노,2021-08-05
27,더블브이커피,인천광역시 중구 내동 134-2 2층,인천광역시 중구 개항로 49 2층,2021-08-05
28,카페 연화당,인천광역시 중구 중앙동1가 14-1 1층 카페연화당,인천광역시 중구 신포로27번길 97 1층 카페연화당,2021-08-05
29,포포링,인천광역시 중구 중앙동2가 20-2,인천광역시 중구 신포로27번길 67,2021-08-05
30,카페 나인티플러스,인천광역시 중구 중앙동1가 1-2 1층,인천광역시 중구 신포로23번길 80-1 1층,2021-08-05
31,공차 인천광역시신포점,인천광역시 중구 관동3가 1-4 인터메조,인천광역시 중구 신포로 35-1 인터메조,2021-08-05
32,끌로드,인천광역시 중구 중앙동2가 23 문화살롱 끌로드,인천광역시 중구 신포로23번길 80 문화살롱 끌로드,2021-08-05
33,카페톡,인천광역시 중구 내동 83-5 신포스카이타워 2층 207호 주상복합건물(신포스카이 타워),인천광역시 중구 신포로46번길 5 주상복합건물(신포스카이 타워),2021-08-05
34,아카이브카페빙고,인천광역시 중구 중앙동4가 8-8,인천광역시 중구 개항로 7-1,2021-08-05
35,메가커피 신포점,"인천광역시 중구 내동 216 1, 2층","인천광역시 중구 개항로 29-2 1, 2층",2021-08-05
36,스푼빌,인천광역시 중구 중앙동1가 11-1,인천광역시 중구 신포로27번길 93,2021-08-05
37,진카페,인천광역시 중구 내동 93,인천광역시 중구 신포로46번길 8-12,2021-08-05
38,컴포즈커피 인천광역시신포DS점,인천광역시 중구 내동 212-1,인천광역시 중구 개항로 44-2,2021-08-05
39,탐앤탐스커피인천광역시신포점,인천광역시 중구 내동 101-1,인천광역시 중구 개항로 31,2021-08-05
40,투썸플레이스인천광역시신포점,인천광역시 중구 신생동 2-33,인천광역시 중구 신포로 16-1,2021-08-05
41,신포커피,인천광역시 중구 중앙동4가 1-8 1층,인천광역시 중구 신포로 27,2021-08-05
42,파스쿠찌 신포로데오점,인천광역시 중구 내동 98-4 카페 파스쿠찌,인천광역시 중구 개항로 29-1 카페 파스쿠찌,2021-08-05
43,빽다방 인천광역시신포시장점,인천광역시 중구 신포동 43,인천광역시 중구 개항로 32,2021-08-05
44,꽁커피,인천광역시 중구 중앙동2가 12,인천광역시 중구 신포로27번길 61,2021-08-05
45,카페스윗,인천광역시 중구 사동 30-58 인천광역시하버오피스텔1층101호,인천광역시 중구 인중로146번길 28 인천광역시하버오피스텔1층101호,2021-08-05
46,이디야커피 인천광역시신포점,인천광역시 중구 신포동 62-2 독,인천광역시 중구 개항로 28-2 독,2021-08-05
47,커피에반하다 인천광역시중구청점,인천광역시 중구 중앙동1가 7-2,인천광역시 중구 신포로27번길 87,2021-08-05
48,홍예문 커피집,인천광역시 중구 송학동3가 4-1,인천광역시 중구 송학로 22,2021-08-05
49,커피머그 신포지하상가점,인천광역시 중구 답동 24-3,인천광역시 중구 우현로 67,2021-08-05
50,느호,인천광역시 중구 송학동3가 7-9 1층 느호,인천광역시 중구 신포로39번길 23 1층 느호,2021-08-05
51,좋은예감,인천광역시 중구 관동1가 3-2,인천광역시 중구 제물량로206번길 33,2021-08-05
52,커피써,인천광역시 중구 사동 17-25 1층,인천광역시 중구 인중로182번길 12 1층,2021-08-05
53,줌카페,인천광역시 중구 사동 17-42 1층,인천광역시 중구 우현로9번길 28,2021-08-05
54,요거프레소 신포점,인천광역시 중구 신포동 1-13,인천광역시 중구 우현로 49,2021-08-05
55,카페봉봉,인천광역시 중구 송학동3가 7-31,인천광역시 중구 신포로35번길 8,2021-08-05
56,올렌스커피,인천광역시 중구 내동 215-10,인천광역시 중구 제물량로166번길 38,2021-08-05
57,삼미,인천광역시 중구 해안동2가 4-14 삼미,인천광역시 중구 제물량로 210-4,2021-08-05
58,와비사비,인천광역시 중구 관동2가 10-9,인천광역시 중구 신포로31번길 51-1,2021-08-05
59,바그다드카페,인천광역시 중구 중앙동1가 1-1,인천광역시 중구 신포로27번길 83,2021-08-05
60,주니베리,인천광역시 중구 신생동 2-1,인천광역시 중구 우현로35번길 23-1,2021-08-05
61,카페인,인천광역시 중구 신포동 12-62 1층,인천광역시 중구 우현로39번길 12 1층,2021-08-05
62,신포동카페,인천광역시 중구 신포동 19-5 1층,인천광역시 중구 우현로35번길 8-1 1층,2021-08-05
63,셉앤큐브음료,인천광역시 중구 신포동 23-10,인천광역시 중구 우현로35번길 14-2,2021-08-05
64,중앙동커피집,인천광역시 중구 중앙동1가 1-1,인천광역시 중구 신포로27번길 83,2021-08-05
65,아침달커피,인천광역시 중구 중앙동1가 9-3,인천광역시 중구 제물량로232번안길 13,2021-08-05
66,BTWN,인천광역시 중구 중앙동1가 3-1,인천광역시 중구 신포로23번길 83,2021-08-05
67,카페마고,인천광역시 중구 송학동3가 5-25,인천광역시 중구 신포로39번길 6-4,2021-08-05
68,다락,인천광역시 중구 중앙동1가 22,인천광역시 중구 신포로23번길 104,2021-08-05
69,GRINBEAN,인천광역시 중구 중앙동4가 2-34 1층,인천광역시 중구 신포로 19-1 1층,2021-08-05
70,레인,인천광역시 중구 신생동 7-1,인천광역시 중구 우현로35번길 11,2021-08-05
71,커피 락,인천광역시 중구 중앙동3가 3-4,인천광역시 중구 신포로27번길 49,2021-08-05
72,아날로그 신포점,인천광역시 중구 신포동 24-5,인천광역시 중구 제물량로166번길 17,2021-08-05
73,위치커피 신포점,인천광역시 중구 중앙동3가 3-16,인천광역시 중구 신포로23번길 52-1,2021-08-05
74,카페빠체,인천광역시 중구 신포동 35-1,인천광역시 중구 제물량로166번길 27,2021-08-05
75,빈스로드,인천광역시 중구 중앙동2가 3-3,인천광역시 중구 제물량로206번길 17,2021-08-05
76,낭만카페,인천광역시 중구 신포동 12-62,인천광역시 중구 우현로39번길 12,2021-08-05
77,또바기커피,인천광역시 중구 신포동 12-52,인천광역시 중구 우현로45번길 25,2021-08-05
78,카페와비사비,인천광역시 중구 관동2가 10-9,인천광역시 중구 신포로31번길 51-1,2021-08-05
79,카페파구스,인천광역시 중구 내동 166,인천광역시 중구 개항로53번길 21,2021-08-05
80,이삭커피숍,인천광역시 중구 사동 23-13,인천광역시 중구 우현로 12,2021-08-05
