학교명,주소,위도,경도
이리남성여자고등학교,전라북도 익산시 동서로35길 41,35.95635944,126.9659967
무주고등학교,전라북도 무주군 무주읍 한수로 32,36.01371751,127.6633474
완산고등학교,전라북도 전주시 완산구 능안자구길 55,35.80240918,127.083885
줄포자동차공업고등학교,전라북도 부안군 줄포면 우포로 10,35.58512049,126.6769191
마사고등학교실습지,전라북도 장수군 천천면 승마로 1005-31,35.70108474,127.5112784
한국전통문화고등학교,전라북도 전주시 완산구 중인1길 68-13,35.77240766,127.0978656
지평선고등학교,전라북도 김제시 성덕면 성동길 183-4,35.82821233,126.8312524
전주해성고등학교,전라북도 전주시 완산구 계룡산길 88,35.78676451,127.1008413
군산중앙고등학교,전라북도 군산시 성산면 군장대길 13,36.00197655,126.7849803
전주영생고등학교,전라북도 전주시 완산구 천잠로 333,35.81609983,127.0919874
전주성심여자고등학교,전라북도 전주시 완산구 경기전길 130,35.81195132,127.150661
전북기계공업고등학교,전라북도 익산시 인북로32길 41,35.94795211,126.9617606
동국대학교사범대학부속금산고등학교,전라북도 김제시 금산면 모악로 47,35.7177326,126.9994481
한국한방고등학교,전라북도 진안군 진안읍 임진로 2765,35.77070891,127.3774507
고창고등학교,전라북도 고창군 고창읍 모양성로 50,35.43744052,126.7012705
덕암고등학교,전라북도 김제시 하공로 9,35.81309241,126.8870829
무풍고등학교,전라북도 무주군 무풍면 대덕산로 914,35.96676372,127.8464687
이리고등학교,전라북도 익산시 익산대로36길 35,35.94925081,126.9557741
영선고등학교,전라북도 고창군 무장면 왕제산로 713,35.41422378,126.5580061
원광여자고등학교,전라북도 익산시 선화로13길 72,35.95432998,126.9434322
마령고등학교,전라북도 진안군 마령면 임진로 2076,35.7322463,127.3721322
전주대학교사범대학부설고등학교,전라북도 전주시 완산구 천잠로 313,35.81531188,127.0938165
설천고등학교,전라북도 무주군 설천면 하평지길 19,36.01252702,127.7881231
이리여자고등학교,전라북도 익산시 익산대로24길 8-5,35.94486815,126.9513174
푸른꿈고등학교,전라북도 무주군 안성면 진성로 2312-9,35.86433064,127.6186346
세인고등학교,전라북도 완주군 화산면 화산로 1486,36.06863841,127.153994
이일여자고등학교,전라북도 익산시 평동로7길 30,35.93458743,126.9489825
동계고등학교,전라북도 순창군 동계면 강동로 74,35.45004832,127.240649
한국마사고등학교,전라북도 장수군 장계면 명덕길 14,35.72425456,127.6344655
이리공업고등학교,전라북도 익산시 동서로14길 30-2,35.9542133,126.9533587
진경여자고등학교,전라북도 익산시 황등면 황등서로 40-92,36.00504357,126.9408324
백산고등학교,전라북도 부안군 백산면 백산로 379,35.70808449,126.7910026
한국경마축산고등학교,전라북도 남원시 운봉읍 황산로 952,35.4408014,127.5161913
전북하이텍고등학교,전라북도 완주군 삼례읍 삼례역로 41-1,35.90774937,127.0694379
전북외국어고등학교,전라북도 군산시 해망로 525,35.98169109,126.6852969
함열여자고등학교,전라북도 익산시 함열읍 익산대로 1852,36.08295724,126.9690849
전주솔내고등학교,전라북도 전주시 덕진구 송천중앙로 170,35.86301323,127.1225064
정읍고등학교,전라북도 정읍시 정읍사로 594,35.55532014,126.8654309
전북유니텍고등학교,전라북도 장수군 장계면 장계7길 3,35.73290981,127.5819498
배영고등학교,전라북도 정읍시 동학로 243,35.60126026,126.8116536
함열고등학교,전라북도 익산시 함열읍 와리3길 19-3,36.08260778,126.9589768
남원제일고등학교,전라북도 남원시 노송로 1206,35.39142667,127.3737218
안천고등학교,전라북도 진안군 안천면 진무로 3071-9,35.90029728,127.5601694
정읍제일고등학교,전라북도 정읍시 충정로 252,35.57013279,126.8541772
원광고등학교,전라북도 익산시 무왕로31길 139,35.97322975,127.0022827
인상고등학교,전라북도 정읍시 신태인읍 벽골제로 34,35.71787771,126.8392028
