이름,주소,위도,경도
서신어린이집,전라북도 전주시 완산구 감나무로 15,35.82915547,127.120266
휴먼시아맑은샘어린이집,전라북도 전주시 완산구 용호로 20,35.80768237,127.1016488
휴먼시아숲속어린이집,전라북도 전주시 완산구 호암로 2,35.80748439,127.0961354
휴먼시아해오름어린이집,전라북도 전주시 완산구 호암로 87,37.70845095,127.0475462
휴먼시아밝은빛어린이집,전라북도 전주시 완산구 호암로 88,35.807829,127.1027133
아기천사어린이집,전라북도 전주시 완산구 외칠봉1길 17,35.80293475,127.13717
바울어린이집,전라북도 전주시 완산구 용머리로 228,35.80840155,127.1353327
상원어린이집,전라북도 전주시 완산구 천잠로 545-7,35.8331357,127.0953507
중산어린이집,전라북도 전주시 완산구 서원로 334,35.81183501,127.1302554
명재어린이집,전라북도 전주시 완산구 삼천천변2길 36-3,35.79615507,127.1141678
올리브어린이집,전라북도 전주시 완산구 구이로 2041-1,35.78038033,127.1289512
전주삼성어린이집,전라북도 전주시 완산구 권삼득로 20,35.8247749,127.149868
남복원광어린이집,전라북도 전주시 완산구 평화6길 22,35.78856964,127.132795
롯데어린이집,전라북도 전주시 완산구 계룡산길 64,35.78864283,127.1050927
예촌어린이집,전라북도 전주시 완산구 메너머3길 25-15,35.82317749,127.1200191
상록어린이집,전라북도 전주시 완산구 우전로 251,35.81699345,127.1015843
에덴어린이집,전라북도 전주시 완산구 장승배기로 302-3,35.7995669,127.1450915
현대어린이집,전라북도 전주시 완산구 인정2길 12,38.32360681,128.5111372
학산어린이집,전라북도 전주시 완산구 평화동2가 모악로 4726-1,35.79110725,127.1321311
작은새두리어린이집,전라북도 전주시 완산구 평화14길 15-10,35.79219592,127.1340619
한마음어린이집,전라북도 전주시 완산구 계룡산길 44-6,35.79070168,127.1048901
신생어린이집,전라북도 전주시 완산구 난전들로 22-7,35.77876997,127.1267258
은성어린이집,전라북도 전주시 완산구 강당1길 18-21,35.81033192,127.133921
큐피트어린이집,전라북도 전주시 완산구 화산천변3길 12-3,35.82078269,127.1148262
꺼야마을어린이집,전라북도 전주시 완산구 중인1길 134-17,35.76823649,127.0943866
전주효자어린이집,전라북도 전주시 완산구 밤나무1길 15-7,35.80863629,127.1168022
큰별어린이집,전라북도 전주시 완산구 내원당길 70-15,35.79374231,127.1699859
효자제일어린이집,전라북도 전주시 완산구 신촌1길 44-3,35.81404324,127.1134943
